vibe,coverImageUrl,timezone,arrondissement,geoLat,domainDominantKey,iconKey,type,geoLng,domainRanking,province,sotsRecent30Score,difficultyTier,totalVotes,domainKey,systemId,active,codePostal,sotsGlobalScore,styleTags,radiusKm,name,adresse,parentCheckpointId,pays,id,created_date,updated_date,created_by_id,is_sample
"","","America/Toronto","Ville-Marie","45.50202797441472","music","","Bar","-73.56812778124018","[{""weight"":0.5,""key"":""music""},{""weight"":0.25,""key"":""humour""},{""weight"":0.25,""key"":""responsable""}]","QC","0","","0","","NC-0000000310","true","H3B 4M7","0","[]","5","Le Cathcart","1 Pl. Monseigneur Charbonneau","","CA","69e25c85810073bd0cc58d7f","2026-04-17T16:15:01.241000","2026-04-20T14:45:38.274000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774990470/microrave/avatars/auxcfh2t5xbwpcyfdmw1.jpg","America/Toronto","Verdun","45.4575903797077","video","🍻","Bar","-73.5673033573718","[{""weight"":0.4,""key"":""video""},{""weight"":0.4,""key"":""music""},{""weight"":0.2,""key"":""humour""}]","QC","0","","0","","NC-0000000049","true","H4G 1X3","0","[]","0.1","LE TREFLE DE VERDUN","4718 rue Wellington","","CA","69ce5852314e03da4ab945df","2026-04-02T11:51:46.974000","2026-04-20T14:45:49.072000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/109815660_1601079540066084_6688472391026923768_n_kyb89w.jpg","America/Toronto","Le Sud-Ouest","45.46976085817531","video","🍻","Bar","-73.58100932206187","[{""weight"":1,""key"":""video""}]","QC","0","","0","","NC-0000000033","true","","0","[]","0.1","Messorem","2233 rue Pitt","","CA","69ce5852314e03da4ab945e7","2026-04-02T11:51:46.974000","2026-04-20T14:46:08.053000","698c747aee05acfdd23ea578","false"
"","","America/Toronto","Ville-Marie","45.49710680336271","","🍻","Bar","-73.564762235236","[]","QC","0","","0","","NC-0000000145","false","H3C 1K1","0","[]","0.1","Time Super Club","997 Rue Saint-Jacques door 1A","","CA","69ce5852314e03da4ab945f8","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/323199473_2760127697452103_8846627555624877798_n_t6bn0t.jpg","America/Toronto","Côte-des-Neiges-Notre-Dame-de-Grâce","45.4982349449837","humour","🍺","Pub","-73.62613674941608","[{""weight"":0.5,""key"":""humour""},{""weight"":0.5,""key"":""music""}]","QC","0","","0","","NC-0000000057","true","","0","[]","0.1","LA RETENUE BAR","5615 chemin de la Côte-des-Neiges","","CA","69ce5852314e03da4ab94604","2026-04-02T11:51:46.974000","2026-04-20T14:45:43.363000","698c747aee05acfdd23ea578","false"
"underground","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/587604254_18318511831216858_1228756440731377792_n_j3xkzr.jpg","America/Toronto","Ville-Marie","45.49970495067229","music","🍻","Bar","-73.55619437650876","[{""weight"":0.3333,""key"":""music""},{""weight"":0.3333,""key"":""humour""},{""weight"":0.3333,""key"":""art""}]","QC","0","1","0","","NC-0000000073","true","H2Y 2E5","0","[]","0.1","NhauBar","600 Rue William","","CA","69ce5852314e03da4ab9460b","2026-04-02T11:51:46.974000","2026-04-20T14:45:44.947000","698c747aee05acfdd23ea578","false"
"","","America/Toronto","Verdun","45.46280873355341","","🍺","Pub","-73.57119238033103","[]","QC","0","","0","","NC-0000000034","false","H4G 1L3","0","[]","0.1","Church st- Pub.","552 rue de Verdun","","CA","69ce5852314e03da4ab945e1","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"underground","","America/Toronto","Le Sud-Ouest","45.46756821234086","","🍻","Bar","-73.59081190361482","[]","QC","0","1","0","","NC-0000000001","false","","0","[]","0.1","Terrasse St-Ambroise","5080 rue Saint-Ambroise","","CA","69ce5852314e03da4ab945e4","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
"underground","https://res.cloudinary.com/dnp8eionl/image/upload/v1774922090/469089413_1226133975165934_3583599513730524292_n_pswuym.jpg","America/Toronto","Le Sud-Ouest","45.49726849050405","music","👩‍💻","Coworking","-73.56180453065372","[{""weight"":1,""key"":""music""}]","QC","0","1","0","","NC-0000000191","true","","0","[]","0.1","Espace rodier","932 rue Notre-Dame O","","CA","69ce5852314e03da4ab945f9","2026-04-02T11:51:46.974000","2026-04-22T12:24:34.508000","698c747aee05acfdd23ea578","false"
"underground","https://res.cloudinary.com/dnp8eionl/image/upload/v1774923865/428587523_1766879153832113_4184195874077961259_n_t5hwxl.jpg","America/Toronto","Ville-Marie","45.4980931760618","","🍻","Bar","-73.5778816925549","[]","QC","0","1","0","","NC-0000000113","true","","0","[]","0.1","Jet night Club","2020 rue Crescent","","CA","69ce5852314e03da4ab94603","2026-04-02T11:51:46.974000","2026-04-02T11:51:46.974000","698c747aee05acfdd23ea578","false"
