score,checkpointSystemId,lastSessionAt,weight,sessionsCount,domainKey,countSessions,qualityAvg,updatedAt,id,created_date,updated_date,created_by_id,is_sample
"0","NC-0000000122","2026-04-28T18:59:36.089Z","0.0625","0","video","1","0","2026-04-28T18:59:36.089Z","69f103975592801513b27fe9","2026-04-28T18:59:35.974000","2026-04-28T18:59:38.703000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0.6999928958282725","NC-0000000160","2026-04-28T12:05:07.332Z","0","1","photo","0","0.7","2026-04-28T12:05:33.638Z","69f0a28efd530b0077a101c8","2026-04-28T12:05:34.066000","2026-04-28T12:05:34.066000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0.8999793726949951","NC-0000000165","2026-04-22T22:57:35.029Z","0","1","responsable","0","0.9","2026-04-22T22:58:34.437Z","69e9529aca581bdd0576f771","2026-04-22T22:58:34.800000","2026-04-22T22:58:34.800000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0.8998898516768202","NC-0000000058","2026-04-22T19:42:54.030Z","0","1","boisson","0","0.9","2026-04-22T19:48:11.296Z","69e925fbf59fe66c0c88ae11","2026-04-22T19:48:11.886000","2026-04-22T19:48:11.886000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0.9599816147187594","NC-0000000191","2026-04-22T12:24:33.206Z","1","2","music","1","0.48","2026-04-22T12:26:41.033Z","69e8be0285e07d416a25b578","2026-04-22T12:24:34.171000","2026-04-22T12:26:41.422000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","NC-0000000130","2026-04-20T14:45:33.870Z","1","0","art","1","0","2026-04-20T14:45:33.870Z","69e63c3babd5ef643e5bab85","2026-04-20T14:46:19.379000","2026-04-20T14:46:19.379000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","NC-0000000095","2026-04-20T14:45:33.870Z","0.125","0","video","1","0","2026-04-20T14:45:33.870Z","69e63c393806546cb3e27b2a","2026-04-20T14:46:17.510000","2026-04-20T14:46:17.510000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","NC-0000000144","2026-04-20T14:45:33.870Z","0.5","0","art","1","0","2026-04-20T14:45:33.870Z","69e63c32069c7240eef8c062","2026-04-20T14:46:10.466000","2026-04-20T14:46:10.466000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","NC-0000000148","2026-04-20T14:45:33.870Z","1","0","art","1","0","2026-04-20T14:45:33.870Z","69e63c2d1bf3f20a4b215adb","2026-04-20T14:46:05.884000","2026-04-20T14:46:05.884000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","NC-0000000030","2026-04-20T14:45:33.870Z","0.5","0","humour","1","0","2026-04-20T14:45:33.870Z","69e63c29dd3eae65fb36dd4b","2026-04-20T14:46:01.617000","2026-04-20T14:46:01.617000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","NC-0000000117","2026-04-20T14:45:33.870Z","1","0","music","1","0","2026-04-20T14:45:33.870Z","69e63c245431a0ef65cf54d1","2026-04-20T14:45:56.852000","2026-04-20T14:45:56.852000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","NC-0000000108","2026-04-20T14:45:33.870Z","0.6667","0","humour","2","0","2026-04-20T14:45:33.870Z","69e63c1f202a72bcf5e2320b","2026-04-20T14:45:51.073000","2026-04-20T14:45:51.073000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","NC-0000000058","2026-04-20T14:45:33.870Z","0.25","0","video","1","0","2026-04-20T14:45:33.870Z","69e63c1e9064a15234e9ecae","2026-04-20T14:45:50.117000","2026-04-20T14:45:50.117000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","NC-0000000058","2026-04-20T14:45:33.870Z","0.25","0","music","1","0","2026-04-20T14:45:33.870Z","69e63c1d3167879e58b505c3","2026-04-20T14:45:49.751000","2026-04-20T14:45:49.751000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","NC-0000000058","2026-04-20T14:45:33.870Z","0.5","0","humour","2","0","2026-04-20T14:45:33.870Z","69e63c1d7e15396cddca977f","2026-04-20T14:45:49.419000","2026-04-20T14:45:49.419000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","NC-0000000035","2026-04-20T14:45:33.870Z","0.6667","0","humour","2","0","2026-04-20T14:45:33.870Z","69e63c1aefcf4b4cd62fbf72","2026-04-20T14:45:46.463000","2026-04-20T14:45:46.463000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","NC-0000000097","2026-04-20T14:45:33.870Z","0.5","0","art","1","0","2026-04-20T14:45:33.870Z","69e63c19851ba082089d37df","2026-04-20T14:45:45.707000","2026-04-20T14:45:45.707000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","NC-0000000097","2026-04-20T14:45:33.870Z","0.5","0","humour","1","0","2026-04-20T14:45:33.870Z","69e63c194626fb524c6cf52a","2026-04-20T14:45:45.312000","2026-04-20T14:45:45.312000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"0","NC-0000000073","2026-04-20T14:45:33.870Z","0.3333","0","art","1","0","2026-04-20T14:45:33.870Z","69e63c184b32cdc919050307","2026-04-20T14:45:44.551000","2026-04-20T14:45:44.551000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
