systemId,bioFr,parentSystemId,color,level,contributesToCheckpointDomains,nameFr,active,medianRate,nameEn,maxRate,racineSystemId,roleType,sotsGlobalScore,roleTags,sotsRecent30Score,totalVotes,isBase,domainKey,slug,xpRequired,id,created_date,updated_date,created_by_id,is_sample
"RL-000062","Débarrassage et support logistique du service en salle.","RL-000060","#0EA5E9","2","true","Bussboy","true","","Busser","","RL-000060","talent","0","[]","0","0","false","boisson","bussboy","0","69e8fb525bc57b413149546e","2026-04-22T16:46:10.801000","2026-04-22T16:46:10.801000","698c747aee05acfdd23ea578","false"
"RL-000061","Service en salle — distribution et présentation des boissons.","","#0EA5E9","1","true","Serveur","true","","Server","","RL-000061","talent","0","[]","0","0","false","boisson","serveur","0","69e8fb09cb8e0acac21c4b91","2026-04-22T16:44:57.208000","2026-04-22T16:46:23.873000","698c747aee05acfdd23ea578","false"
"RL-000060","Prépare et sert des cocktails et boissons en événement.","","#0EA5E9","1","true","Barman","true","","Bartender","","RL-000060","talent","0","[]","0","0","false","boisson","barman","0","69e8fa21156bbdd82ea02485","2026-04-22T16:41:05.932000","2026-04-22T16:46:32.437000","698c747aee05acfdd23ea578","false"
"RL-000101","","","","1","true","Sécurité","true","","Security","","RL-000101","talent","0","[]","0","0","false","responsable","","0","69e25337d058d58aa0a7f272","2026-04-17T15:35:19.835000","2026-04-17T15:35:19.835000","698c747aee05acfdd23ea578","false"
"RL-000055","","","","1","true","Cocktail","true","","Cocktail","","RL-000055","talent","0","[]","0","0","false","food","","0","69b42ccd419e18e3aa438b03","2026-03-13T15:27:09.168000","2026-03-13T15:27:09.168000","698c747aee05acfdd23ea578","false"
"RL-000018","Bénévole briguant un poste au sein du réseau dans un territoire donné.","RL-000006","#495867","2","false","Affilié","false","","","","RL-000006","talent","0","[]","0","0","false","","","0","69b33b41f8e717927577f42d","2026-03-12T22:16:33.418000","2026-03-12T22:16:33.418000","698c747aee05acfdd23ea578","false"
"RL-000024","","RL-000004","#dd00ff","2","true","Traiteur","true","","Catering","","RL-000004","talent","0","[]","0","0","false","food","","0","69b33b41f8e717927577f42e","2026-03-12T22:16:33.418000","2026-03-12T22:16:33.418000","698c747aee05acfdd23ea578","false"
"RL-000025","","RL-000001","#485696","1","true","Humoriste","true","50","Comic","3500","RL-000001","talent","0","[]","0","0","true","humour","","0","69b33b41f8e717927577f42f","2026-03-12T22:16:33.418000","2026-03-12T22:16:33.418000","698c747aee05acfdd23ea578","false"
"RL-000026","","RL-000001","#485696","2","true","Danseur","true","25","Dancer","120","RL-000001","talent","0","[]","0","0","false","music","","0","69b33b41f8e717927577f430","2026-03-12T22:16:33.418000","2026-03-12T22:16:33.418000","698c747aee05acfdd23ea578","false"
"RL-000027","","RL-000002","#fdb10c","2","false","Impresario","false","32","Impresario","72","RL-000002","talent","0","[]","0","0","false","","","0","69b33b41f8e717927577f431","2026-03-12T22:16:33.418000","2026-03-12T22:16:33.418000","698c747aee05acfdd23ea578","false"
"RL-000028","","RL-000002","#fdb10c","2","false","Coordonnateur","false","26","Coordinator","33","RL-000002","talent","0","[]","0","0","false","","","0","69b33b41f8e717927577f432","2026-03-12T22:16:33.418000","2026-03-13T15:24:29.286000","698c747aee05acfdd23ea578","false"
"RL-000029","","RL-000025","#485696","2","true","Animateur","true","50","Animator","2500","RL-000025","talent","0","[]","0","0","false","humour","","0","69b33b41f8e717927577f433","2026-03-12T22:16:33.418000","2026-04-22T16:39:29.154000","698c747aee05acfdd23ea578","false"
"RL-000030","","RL-000002","#fdb10c","2","false","Régisseur","false","35","Back-Stage Manager","75","RL-000002","talent","0","[]","0","0","false","","","0","69b33b41f8e717927577f434","2026-03-12T22:16:33.418000","2026-03-12T22:16:33.418000","698c747aee05acfdd23ea578","false"
"RL-000031","Assure le développement de la plateforme web.","RL-000005","#0F5257","2","false","Développeur","false","","Developper","","RL-000005","talent","0","[]","0","0","false","","","0","69b33b41f8e717927577f435","2026-03-12T22:16:33.418000","2026-03-12T22:16:33.418000","698c747aee05acfdd23ea578","false"
