evaluatorWeightSnapshot,sessionStyleSystemIds,wouldRecommend,evaluatorStyleSystemIds,scoreWeighted,sessionType,fairnessResourcefulness,communication,sotsBreakdown,evaluatorRoleSystemId,evaluatorUserId,roleSystemId,targetId,sessionRoleSystemId,sessionCheckpointSystemId,sessionTags,funWork,targetType,sessionId,toxicityAvoidance,tags,attitudePositivity,sessionStyleSystemId,styleSystemIds,checkpointSystemId,scoreRaw,comment,id,created_date,updated_date,created_by_id,is_sample
"2.3026","[""ST-000038"",""ST-000100"",""ST-000165"",""ST-000217""]","true","[""ST-000201""]","11.513","quickplay","5","5","","RL-000010","69f0ffc2193f2d4d0a7bcbfa","RL-000008","698c747aee05acfdd23ea578","RL-000008","NC-0000000122","[""RL-000008"",""ST-000038"",""ST-000100"",""ST-000165"",""ST-000217"",""NC-0000000122""]","5","user","69f1034459a60f4b9ff07d82","5","[]","5","ST-000038","[""ST-000038"",""ST-000100"",""ST-000165"",""ST-000217""]","NC-0000000122","5","","69f103ac1066b0f54c38ae4d","2026-04-28T18:59:56.828000","2026-04-28T18:59:56.828000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"10.7634","[""ST-000201""]","true","[""ST-000038"",""ST-000100"",""ST-000165"",""ST-000217""]","47.359","quickplay","4","4","","RL-000008","698c747aee05acfdd23ea578","RL-000010","69f0ffc2193f2d4d0a7bcbfa","RL-000010","NC-0000000122","[""RL-000010"",""ST-000201"",""NC-0000000122""]","5","user","69f1034459a60f4b9ff07d82","4","[]","5","ST-000201","[""ST-000201""]","NC-0000000122","4.4","","69f103accc4a3a75c3bdcf35","2026-04-28T18:59:56.262000","2026-04-28T18:59:56.262000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"10.1326","[""ST-000114""]","true","[""ST-000032"",""ST-000009"",""ST-000013"",""ST-000007"",""ST-000219"",""ST-000155""]","50.663","quickplay","5","5","","RL-000025","698dbbf753d545317578c200","RL-000008","69cbfedd21c3baa494041243","RL-000008","NC-0000000104","[""RL-000008"",""ST-000114"",""NC-0000000104""]","5","user","69f0c6970803bf124b82d341","5","[]","5","ST-000114","[""ST-000114""]","NC-0000000104","5","","69f0c6cb88f985d6d23897d9","2026-04-28T14:40:11.737000","2026-04-28T14:40:11.737000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"2.3026","[""ST-000032"",""ST-000009"",""ST-000013"",""ST-000007"",""ST-000219"",""ST-000155""]","true","[""ST-000114""]","11.513","quickplay","5","5","","RL-000008","69cbfedd21c3baa494041243","RL-000025","698dbbf753d545317578c200","RL-000025","NC-0000000104","[""RL-000025"",""ST-000032"",""ST-000009"",""ST-000013"",""ST-000007"",""ST-000219"",""ST-000155"",""NC-0000000104""]","5","user","69f0c6970803bf124b82d341","5","[]","5","ST-000032","[""ST-000032"",""ST-000009"",""ST-000013"",""ST-000007"",""ST-000219"",""ST-000155""]","NC-0000000104","5","","69f0c6c4c890e2da31528e16","2026-04-28T14:40:04.310000","2026-04-28T14:40:04.310000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"10.127","[]","true","[]","36.4572","event","3","4","","RL-000009","698dbbf753d545317578c200","RL-ORGANIZER","698c747aee05acfdd23ea578","RL-ORGANIZER","NC-0000000160","[""RL-ORGANIZER"",""NC-0000000160""]","2","user","69f099b8afa18f836d087348","4","[]","5","","[]","NC-0000000160","3.6","","69f0a289f23f4d1dc187133b","2026-04-28T12:05:29.784000","2026-04-28T12:05:29.784000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"10.7566","[]","true","[]","36.5724","event","3","3","","RL-ORGANIZER","698c747aee05acfdd23ea578","RL-000009","698dbbf753d545317578c200","RL-000009","NC-0000000160","[""RL-000009"",""NC-0000000160""]","3","user","69f099b8afa18f836d087348","4","[]","4","","[]","NC-0000000160","3.4","","69f0a2832770eca4cf18e6a0","2026-04-28T12:05:23.650000","2026-04-28T12:05:23.650000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"8.5641","[""ST-000074"",""ST-000012"",""ST-000042"",""ST-000008""]","false","[""ST-000074"",""ST-000012"",""ST-000042"",""ST-000008""]","8.5641","event","1","1","","RL-000008","698dc6f781b400b640a229f6","RL-ORGANIZER","699c655e40e8dc98eacda675","RL-ORGANIZER","NC-0000000165","[""RL-ORGANIZER"",""ST-000074"",""ST-000012"",""ST-000042"",""ST-000008"",""NC-0000000165""]","1","user","69eb6a83d8a595925a5192e8","1","[]","1","ST-000074","[""ST-000074"",""ST-000012"",""ST-000042"",""ST-000008""]","NC-0000000165","1","","69eb775fce76bc6020fe4d3a","2026-04-24T13:59:59.328000","2026-04-24T13:59:59.328000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"8.5641","[]","false","[""ST-000074"",""ST-000012"",""ST-000042"",""ST-000008""]","8.5641","event","1","1","","RL-000008","698dc6f781b400b640a229f6","RL-000008","698d204286a5af9808991620","RL-000008","NC-0000000165","[""RL-000008"",""NC-0000000165""]","1","user","69eb6a83d8a595925a5192e8","1","[]","1","","[]","NC-0000000165","1","","69eb775fd3ee2aa0573c5852","2026-04-24T13:59:59.163000","2026-04-24T13:59:59.163000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"7.4797","[]","false","[""ST-000074"",""ST-000012"",""ST-000042"",""ST-000008""]","7.4797","event","1","1","","RL-ORGANIZER","699c655e40e8dc98eacda675","RL-000008","698d204286a5af9808991620","RL-000008","NC-0000000165","[""RL-000008"",""NC-0000000165""]","1","user","69eb6a83d8a595925a5192e8","1","[]","1","","[]","NC-0000000165","1","","69eb77598268bb61661b4d99","2026-04-24T13:59:53.709000","2026-04-24T13:59:53.709000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"7.4797","[""ST-000074"",""ST-000012"",""ST-000042"",""ST-000008""]","false","[""ST-000074"",""ST-000012"",""ST-000042"",""ST-000008""]","7.4797","event","1","1","","RL-ORGANIZER","699c655e40e8dc98eacda675","RL-000008","698dc6f781b400b640a229f6","RL-000008","NC-0000000165","[""RL-000008"",""ST-000074"",""ST-000012"",""ST-000042"",""ST-000008"",""NC-0000000165""]","1","user","69eb6a83d8a595925a5192e8","1","[]","1","ST-000074","[""ST-000074"",""ST-000012"",""ST-000042"",""ST-000008""]","NC-0000000165","1","","69eb77596272d2a46bd5017e","2026-04-24T13:59:53.216000","2026-04-24T13:59:53.216000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
