systemId,bioFr,parentSystemId,color,level,displayName,active,racineSystemId,sotsGlobalScore,unlockLevel,rarityTier,sotsRecent30Score,totalVotes,domainKey,id,created_date,updated_date,created_by_id,is_sample
"ST-000244","","ST-000003","","3","Acid Techno","true","ST-000001","0","1","common","0","0","music","69c2850a7b1741394852e37a","2026-03-24T12:35:22.276000","2026-03-24T12:35:22.276000","698c747aee05acfdd23ea578","false"
"ST-000100","","ST-000096","","2","Roots","true","ST-000094","0","1","common","0","0","music","69b8134c77c81ce104b02468","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000099","","ST-000096","","3","Rocksteady","true","ST-000094","0","9","epic","0","0","music","69b8134c77c81ce104b02469","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000098","","ST-000096","","3","Ska","true","ST-000094","0","11","epic","0","0","music","69b8134c77c81ce104b0246a","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000097","","ST-000096","","3","Mento","true","ST-000094","0","5","rare","0","0","music","69b8134c77c81ce104b0246b","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000096","","ST-000094","","2","Reggae","true","ST-000094","0","1","common","0","0","music","69b8134c77c81ce104b0246c","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000095","","ST-000094","","2","Latin","true","ST-000094","0","1","common","0","0","music","69b8134c77c81ce104b0246d","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000094","","","","1","World Music","true","ST-000094","0","1","common","0","0","music","69b8134c77c81ce104b0246e","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000093","","ST-000077","","3","Alternative R&B","true","ST-000076","0","1","common","0","0","music","69b8134c77c81ce104b0246f","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000092","","ST-000077","","3","Funk","true","ST-000076","0","2","common","0","0","music","69b8134c77c81ce104b02470","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000091","","ST-000077","","3","Soul","true","ST-000076","0","12","epic","0","0","music","69b8134c77c81ce104b02471","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000090","","ST-000077","","3","Rhythm and Blues","true","ST-000076","0","9","epic","0","0","music","69b8134c77c81ce104b02472","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000079","","ST-000078","","3","Old Skool Rap Pioneers","true","ST-000076","0","6","rare","0","0","music","69b8134c77c81ce104b02473","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000080","","ST-000078","","3","Golden Age Rap (& Hardcore Rap)","true","ST-000076","0","2","common","0","0","music","69b8134c77c81ce104b02474","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000081","","ST-000078","","3","Miami Bass & Bounce","true","ST-000076","0","5","rare","0","0","music","69b8134c77c81ce104b02475","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000082","","ST-000078","","3","(West Coast) Gangsta Rap","true","ST-000076","0","1","common","0","0","music","69b8134c77c81ce104b02476","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000083","","ST-000078","","3","Jazz Rap / Native Tongue","true","ST-000076","0","4","rare","0","0","music","69b8134c77c81ce104b02477","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000084","","ST-000078","","3","Progressive Rap / Nu Skool Rap","true","ST-000076","0","7","rare","0","0","music","69b8134c77c81ce104b02478","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000085","","ST-000078","","3","Reggaetón & Latin Rap","true","ST-000076","0","8","rare","0","0","music","69b8134c77c81ce104b02479","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000086","","ST-000078","","3","(Dirty) South Rap, Crunk & Snap","true","ST-000076","0","1","common","0","0","music","69b8134c77c81ce104b0247a","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000087","","ST-000078","","3","East Coast Gangsta Rap","true","ST-000076","0","2","common","0","0","music","69b8134c77c81ce104b0247b","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000088","","ST-000078","","3","Trap & Drill","true","ST-000076","0","14","epic","0","0","music","69b8134c77c81ce104b0247c","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000089","","ST-000078","","3","Urban Breaks (Nu R&B Ii)","true","ST-000076","0","23","legendary","0","0","music","69b8134c77c81ce104b0247d","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000078","","ST-000076","","2","Rap / Hip-Hop","true","ST-000076","0","1","common","0","0","music","69b8134c77c81ce104b0247e","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000077","","ST-000076","#8e3761","2","R&B","true","ST-000076","0","1","common","0","0","music","69b8134c77c81ce104b0247f","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000076","","","#8E3761","1","Urban","true","ST-000076","0","1","common","0","0","music","69b8134c77c81ce104b02480","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000056","","ST-000004","85272e","3","Chemical Breaks & Big Beat","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b02481","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000057","","ST-000004","85272e","3","Ambient Breaks & Illbient","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b02482","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000058","","ST-000004","85272e","3","Uk Garage (2-Step & Speed Garage)","true","ST-000001","0","16","legendary","0","0","music","69b8134c77c81ce104b02483","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000059","","ST-000004","85272e","3","Nu Skool Breaks","true","ST-000001","0","6","rare","0","0","music","69b8134c77c81ce104b02484","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000060","","ST-000004","85272e","3","Broken Beats","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b02485","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000061","","ST-000004","85272e","3","Breakbeat Garage & Grime","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b02486","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000062","","ST-000004","85272e","3","Bassline & Uk Funky","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b02487","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000063","","ST-000004","85272e","3","Glitch Hop & Wonky","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b02488","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000064","","ST-000004","85272e","3","Future Bass / Future Garage","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b02489","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000065","","ST-000004","85272e","3","Edm Trap / Trapstep","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b0248a","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000066","","ST-000004","85272e","3","Electro","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b0248b","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000067","","ST-000004","85272e","3","Freestyle & Breakdance","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b0248c","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000053","","ST-000004","85272e","3","Florida Breaks (& Funky Breaks)","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b0248d","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000054","","ST-000004","85272e","3","Breakbeat Hardcore (Rave Ii)","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b0248e","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000055","","ST-000004","85272e","3","Trip Hop","true","ST-000001","0","15","epic","0","0","music","69b8134c77c81ce104b0248f","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000051","","ST-000005","","3","Old Skool Jungle & Old Skool Drum 'N' Bass","true","ST-000001","0","6","rare","0","0","music","69b8134c77c81ce104b02490","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000052","","ST-000005","","3","Hardstep & Techstep","true","ST-000001","0","2","common","0","0","music","69b8134c77c81ce104b02491","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000068","","ST-000005","","3","Jump Up","true","ST-000001","0","4","rare","0","0","music","69b8134c77c81ce104b02492","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000069","","ST-000005","","3","Intelligent / Ambient Drum 'N' Bass & Jazzstep","true","ST-000001","0","4","rare","0","0","music","69b8134c77c81ce104b02493","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000070","","ST-000005","","3","Uk Garage (2-Step & Speed Garage)","true","ST-000001","0","17","legendary","0","0","music","69b8134c77c81ce104b02494","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000071","","ST-000005","","3","Neurofunk","true","ST-000001","0","6","rare","0","0","music","69b8134c77c81ce104b02495","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000072","","ST-000005","","3","Liquid Funk","true","ST-000001","0","5","rare","0","0","music","69b8134c77c81ce104b02496","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
"ST-000073","","ST-000005","","3","Breakbeat Garage & Grime","true","ST-000001","0","1","common","0","0","music","69b8134c77c81ce104b02497","2026-03-16T14:27:24.169000","2026-03-16T14:27:24.169000","698c747aee05acfdd23ea578","false"
