packageDescription,roleSystemId,notes,perPersonRate,fixedRate,currency,perItemRate,packageName,hourlyRate,userId,id,created_date,updated_date,created_by_id,is_sample
"","RL-000009","","","","CAD","","","","69f0ffc2193f2d4d0a7bcbfa","69f101967b99e4d6a2e38cf7","2026-04-28T18:51:02.773000","2026-04-28T18:51:02.773000","69f0ffc2193f2d4d0a7bcbfa","false"
"","RL-000010","","","1000","CAD","","","125","69f0ffc2193f2d4d0a7bcbfa","69f10196a6edcefeb79d375c","2026-04-28T18:51:02.607000","2026-04-28T18:51:02.607000","69f0ffc2193f2d4d0a7bcbfa","false"
"","RL-000008","","","750","CAD","","","200","698e858b74f154c27031dcab","69ea79d7b15271a8e1eae770","2026-04-23T19:58:15.862000","2026-04-23T19:58:15.862000","698e858b74f154c27031dcab","false"
"","RL-000062","","","250","CAD","","","25","69cd302266f2193a99122757","69e8fc6a62f6ce2fb55d5a2c","2026-04-22T16:50:50.345000","2026-04-22T16:51:02.535000","69cd302266f2193a99122757","false"
"","RL-000029","","","","CAD","","","","69cd302266f2193a99122757","69e8fc6a70ca792d033ee0a8","2026-04-22T16:50:50.177000","2026-04-22T16:51:02.315000","69cd302266f2193a99122757","false"
"","RL-000025","","","350","CAD","","","70","699c655e40e8dc98eacda675","69e7d136b095d9344552a529","2026-04-21T19:34:14.362000","2026-04-23T19:59:04.440000","699c655e40e8dc98eacda675","false"
"","RL-000008","","","400","CAD","","","50","699c655e40e8dc98eacda675","69e619f486cb0609a89b1da0","2026-04-20T12:20:04.061000","2026-04-23T19:59:04.279000","699c655e40e8dc98eacda675","false"
"","RL-000008","","","300","CAD","","","100","69cc8733c3fe5f1da80ba357","69e58adaaa80f03bf3dc3861","2026-04-20T02:09:30.954000","2026-04-20T02:09:34.381000","69cc8733c3fe5f1da80ba357","false"
"","RL-000101","Déplacement inclus","","","CAD","","","20","69be7dd0c77c2ac0d788be7e","69e269d5750fa26db7f4266a","2026-04-17T17:11:49.613000","2026-04-17T17:11:49.613000","69be7dd0c77c2ac0d788be7e","false"
"","RL-000008","","","","CAD","","","","69be7dd0c77c2ac0d788be7e","69e269d55ba3a5f500ec3818","2026-04-17T17:11:49.401000","2026-04-17T17:11:49.401000","69be7dd0c77c2ac0d788be7e","false"
"","RL-000101","","","600","CAD","","","100","698c747aee05acfdd23ea578","69e253546c376320615eeee8","2026-04-17T15:35:48.405000","2026-04-17T15:35:48.405000","698c747aee05acfdd23ea578","false"
"","RL-000026","","","300","CAD","","","120","69d7eb206528d1cfcf49b1cf","69d7f020aea64db9b756b44a","2026-04-09T18:29:52.065000","2026-04-09T18:34:06.315000","69d7eb206528d1cfcf49b1cf","false"
"","RL-000008","","","300","CAD","","","100","69d7eb206528d1cfcf49b1cf","69d7ebcb7f60669fbbf8cdc1","2026-04-09T18:11:23.940000","2026-04-09T18:34:06.592000","69d7eb206528d1cfcf49b1cf","false"
"","RL-000008","","","","CAD","","","100","69d6986bf4e0b9a5127f24c0","69d698e25bcd127bd6683881","2026-04-08T18:05:22.058000","2026-04-08T18:17:41.824000","69d6986bf4e0b9a5127f24c0","false"
"","RL-000029","","","600","CAD","","","100","69b48a2b7d5c0db589c6bb1c","69d414339a5725414c206816","2026-04-06T20:14:43.901000","2026-04-21T20:35:23.727000","69b48a2b7d5c0db589c6bb1c","false"
"","RL-000010","à négocier.","","5000","CAD","","","5000","69d0f935f991802a401f552b","69d0f998e3b33012cc724b61","2026-04-04T11:44:24.241000","2026-04-04T11:44:24.241000","69d0f935f991802a401f552b","false"
"","RL-000008","","","1000","CAD","","","200","699cfc45fae147a8797a069c","69cd3d40fa6fa172467a1694","2026-04-01T15:44:00.938000","2026-04-01T15:44:00.938000","699cfc45fae147a8797a069c","false"
"","RL-000008","","","","CAD","","","","69cc5fb8d599c99df1e75f81","69cd3ca99653842c85e17906","2026-04-01T15:41:29.485000","2026-04-01T15:41:29.485000","69cc5fb8d599c99df1e75f81","false"
"","RL-000008","","","","CAD","","","","69cd302266f2193a99122757","69cd387d83a3ea4755f93f4f","2026-04-01T15:23:41.153000","2026-04-22T16:51:02.100000","69cd302266f2193a99122757","false"
"","RL-000008","","","750","CAD","","","150","69cd1f9520e868b912b57c53","69cd1fae8ed0f42c0b8bed72","2026-04-01T13:37:50.059000","2026-04-01T13:37:50.059000","69cd1f9520e868b912b57c53","false"
"","RL-000029","","","","CAD","","","","69cbff8d58eb0af5dc346df8","69cc005d5b50840372309b54","2026-03-31T17:11:57.984000","2026-03-31T17:11:57.984000","69cbff8d58eb0af5dc346df8","false"
"","RL-000008","","","1000","CAD","","","200","69cbff8d58eb0af5dc346df8","69cc005d5fe98c20abbb10cb","2026-03-31T17:11:57.569000","2026-03-31T17:11:57.569000","69cbff8d58eb0af5dc346df8","false"
"","RL-001001","","","120","CAD","","","20","69be7dd0c77c2ac0d788be7e","69cb2b8addf4fe9b502c2f1b","2026-03-31T02:03:54.488000","2026-03-31T02:06:09.865000","69be7dd0c77c2ac0d788be7e","false"
"","RL-001002","","","150","CAD","","","25","69be7dd0c77c2ac0d788be7e","69cb2b8a5026db145440014d","2026-03-31T02:03:54.218000","2026-03-31T02:06:09.600000","69be7dd0c77c2ac0d788be7e","false"
"","RL-000008","","","450","CAD","","","100","69bc2233a6db140ca6cd819a","69bc22ed231c85dcac0cbf7b","2026-03-19T16:23:09.771000","2026-03-19T16:25:01.813000","69bc2233a6db140ca6cd819a","false"
"","RL-000008","","","500","CAD","","","100","698dc6f781b400b640a229f6","69b988e71142296688b7f631","2026-03-17T17:01:27.964000","2026-03-17T17:01:27.964000","698dc6f781b400b640a229f6","false"
"","RL-000008","","","150","CAD","","","50","69b8923e5da3bfb51a6a8594","69b894472ba4dab32d42fdf6","2026-03-16T23:37:43.337000","2026-03-16T23:37:43.337000","69b8923e5da3bfb51a6a8594","false"
"","RL-000001","","","2000","CAD","","","500","69b8923e5da3bfb51a6a8594","69b89447c56fdf35f065a146","2026-03-16T23:37:43.111000","2026-03-16T23:37:43.111000","69b8923e5da3bfb51a6a8594","false"
"","RL-000009","chez nous","","600","CAD","","","200","69b8923e5da3bfb51a6a8594","69b89446c09c97e5398d8a96","2026-03-16T23:37:42.917000","2026-03-16T23:37:42.917000","69b8923e5da3bfb51a6a8594","false"
"","RL-000010","","","500","CAD","","","125","698dbbf753d545317578c200","69b71739121bf752f93d1d26","2026-03-15T20:31:53.959000","2026-03-15T20:31:53.959000","698dbbf753d545317578c200","false"
"","RL-000008","","","1000","CAD","","","200","698dbbf753d545317578c200","69b71739c95ad4c88556750c","2026-03-15T20:31:53.781000","2026-03-15T20:31:53.781000","698dbbf753d545317578c200","false"
"","RL-000026","","","","CAD","","","","698dbbf753d545317578c200","69b71739a9783178929e9947","2026-03-15T20:31:53.626000","2026-03-15T20:31:53.626000","698dbbf753d545317578c200","false"
"","RL-000024","","","","CAD","","","","698dbbf753d545317578c200","69b71739b6bafe1cdb28285a","2026-03-15T20:31:53.450000","2026-03-15T20:31:53.450000","698dbbf753d545317578c200","false"
"","RL-000028","","","","CAD","","","","698dbbf753d545317578c200","69b71739bfe49605339bc236","2026-03-15T20:31:53.289000","2026-03-15T20:31:53.289000","698dbbf753d545317578c200","false"
"","RL-000025","","","800","CAD","","","125","698dbbf753d545317578c200","69b717393eb13deb6f8cbdd9","2026-03-15T20:31:53.144000","2026-03-15T20:31:53.144000","698dbbf753d545317578c200","false"
"","RL-000010","","","600","CAD","","","150","69b5fabdcdff0f2e42039d46","69b61aa9e1c676ceaf3bac1c","2026-03-15T02:34:17.940000","2026-03-15T02:34:36.410000","69b5fabdcdff0f2e42039d46","false"
"","RL-000008","contrat variable, ","","600","CAD","","","75","69b4a88ad33793adbf168b20","69b4a9b97a0de30a28033c58","2026-03-14T00:20:09.140000","2026-03-14T00:20:09.140000","69b4a88ad33793adbf168b20","false"
"","RL-000008","","","","CAD","","","50","69b4a8115562898f235bf638","69b4a863fd4f5bb4378e4f60","2026-03-14T00:14:27.300000","2026-03-14T00:23:31.855000","69b4a8115562898f235bf638","false"
"","RL-000010","","","500","CAD","","","100","698dd1b2193c860027a3457a","69b48cc8b63e2caf0943ea21","2026-03-13T22:16:40.010000","2026-03-13T22:35:24.807000","698dd1b2193c860027a3457a","false"
"","RL-000008","","","1000","CAD","","","200","69b48a2b7d5c0db589c6bb1c","69b48a6bdd3543cf5b68544a","2026-03-13T22:06:35.514000","2026-04-21T20:35:23.551000","69b48a2b7d5c0db589c6bb1c","false"
"","RL-000055","50 personnes 
5 cocktail signature
service de biere, vin et mixed drinks
evenements de 4h

tip et ingredients inclu 
Alcool non inclu","","500","CAD","","","","69b041a28ed1d3967eceb5b1","69b43b125b16369d27921100","2026-03-13T16:28:02.712000","2026-03-13T16:30:33.280000","69b041a28ed1d3967eceb5b1","false"
"","RL-000028","","","","CAD","","","","698c747aee05acfdd23ea578","69b43b11c9fe9bbe37827d34","2026-03-13T16:28:01.999000","2026-03-13T16:28:01.999000","698c747aee05acfdd23ea578","false"
"","RL-000016","","","","CAD","","","","698c747aee05acfdd23ea578","69b43b0f7447e0af765b608b","2026-03-13T16:27:59.800000","2026-03-13T16:27:59.800000","698c747aee05acfdd23ea578","false"
"","RL-000011","","","","CAD","","","","698dd1b2193c860027a3457a","69b43ae1c7f17a3bd1648bf3","2026-03-13T16:27:13.804000","2026-03-13T22:35:24.432000","698dd1b2193c860027a3457a","false"
"","RL-000029","","","","CAD","","","","698d204286a5af9808991620","69b2aecfebcb22a4845aa3ee","2026-03-12T12:17:19.248000","2026-03-12T12:17:19.248000","698d204286a5af9808991620","false"
"","RL-000009","","","","CAD","","","","698c747aee05acfdd23ea578","69b2142e2a698abd55ecc8c1","2026-03-12T01:17:34.041000","2026-03-12T01:17:34.041000","698c747aee05acfdd23ea578","false"
"","RL-000029","","","","CAD","","","","698c747aee05acfdd23ea578","69b2142d6a6ffcbdd7909209","2026-03-12T01:17:33.863000","2026-03-12T01:17:33.863000","698c747aee05acfdd23ea578","false"
"","RL-000026","","","500","CAD","","","125","698c747aee05acfdd23ea578","69b2140a827ce8987df09e90","2026-03-12T01:16:58.663000","2026-03-12T01:17:33.697000","698c747aee05acfdd23ea578","false"
"","RL-000025","","","500","CAD","","","200","698d204286a5af9808991620","69b09b51b332eb91b36d1363","2026-03-10T22:29:37.321000","2026-03-12T13:12:28.691000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"","RL-000008","","","300","CAD","","","100","698d204286a5af9808991620","69acab40346779398560bb39","2026-03-07T22:48:32.889000","2026-04-24T11:34:50.570000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"","RL-000010","","","700","CAD","","","150","698d204286a5af9808991620","69acab3ff45b060d7cb6fe57","2026-03-07T22:48:31.887000","2026-04-24T11:34:50.737000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"","RL-000026","","","250","CAD","","","50","698dbd987dbcc355eec0ff7c","69acab2fb7fc84d049d458a9","2026-03-07T22:48:15.581000","2026-03-07T22:48:15.581000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"","RL-000008","","","500","CAD","","","75","698dbd987dbcc355eec0ff7c","69acab2d29d91db3e4b358ae","2026-03-07T22:48:13.330000","2026-03-17T17:01:41.154000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"","RL-000010","","","450","CAD","","","125","698c747aee05acfdd23ea578","69ab9bed36b0f330e3e9e98c","2026-03-07T03:30:53.564000","2026-03-13T16:28:04.179000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"","RL-000025","","","350","CAD","","","50","698c747aee05acfdd23ea578","69ab9be46946bbd3e6e810f4","2026-03-07T03:30:44.662000","2026-03-07T03:30:44.662000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"","RL-000008","","","800","CAD","","","200","698c747aee05acfdd23ea578","69ab9bce6b19a1b9a7c2832d","2026-03-07T03:30:22.225000","2026-04-17T15:35:48.240000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"","RL-000025","","","500","CAD","","","200","698dd1b2193c860027a3457a","69ab02be0709cde390e45960","2026-03-06T16:37:18.965000","2026-03-13T22:35:24.616000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"","RL-000026","","","500","CAD","","","100","698dd1b2193c860027a3457a","69ab02b4929c66c3aa2f4cd9","2026-03-06T16:37:08.977000","2026-03-06T16:37:08.977000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
"","RL-000008","","","750","CAD","","","200","698dd1b2193c860027a3457a","69ab02b321c4935d73ce4af6","2026-03-06T16:37:07.418000","2026-03-06T16:37:07.418000","service_eb508f39-ce3d-4391-bb12-d4211c02ede9","false"
