displayName,stripeConnectOnboardingStatus,bio,referrerCode,cosmeticXp,activeRoles,primaryStyleSystemIds,badgeSlots,trustScore,verifiedRevenueTotal,activeCheckpoints,sotsRecent30Score,leagueSlots,referralCode,primaryCheckpointId,cosmeticBadges,pricingBase,styleWeights,referrerId,avatarUrl,sotsGlobalScore,userId,xpGlobal,activeDomains,stripeConnectAccountId,earnedRoles,activeStyles,id,created_date,updated_date,created_by_id,is_sample
"Juan Felipe Hedmont","not_started","","","10","[""RL-000010"",""RL-000009""]","[]","","0","0","[]","4.4","","MR6WBCBNF5","","[""Explorer""]","","{""ST-000201"":50,""ST-000200"":50}","","","4.4","69f0ffc2193f2d4d0a7bcbfa","0","[""video"",""photo""]","","[]","[""ST-000201"",""ST-000200""]","69f0ffd70eae5db41dbe6201","2026-04-28T18:43:35.862000","2026-04-28T18:59:58.234000","69f0ffc2193f2d4d0a7bcbfa","false"
"Arborium incubateur en ligne","not_started","","","0","[]","[]","[]","0","0","[]","0","[]","MROVAL68S8","","[]","","{}","","","0","698e858b74f154c27031dcab","0","[]","","[]","[]","69e57b3bd19bbddce416ffeb","2026-04-20T01:02:51.374000","2026-04-20T01:03:37.896000","698e858b74f154c27031dcab","false"
"Sen Saiz","not_started","","","0","[]","[]","[]","0","0","[]","0","[]","MR4FF6AIEV","","[]","","{}","","","0","69e2c9b54aa4253a0f3e7b36","0","[]","","[]","[]","69e2c9cb73616233ae52fa89","2026-04-18T00:01:15.841000","2026-04-18T00:01:16.511000","69e2c9b54aa4253a0f3e7b36","false"
"Andrea Perron","not_started","","IU1EV56C","0","[""RL-000008"",""RL-000026""]","[]","[]","0","0","[]","0","[]","MRA1R7T3HF","","[]","","{""ST-000074"":50,""ST-000238"":50,""ST-000239"":50,""ST-000240"":50,""ST-000241"":50,""ST-000242"":50,""ST-000243"":50,""ST-000036"":50,""ST-000014"":50,""ST-000015"":50,""ST-000016"":50,""ST-000021"":50,""ST-000025"":50,""ST-000033"":50,""ST-000037"":50,""ST-000026"":50,""ST-000038"":50,""ST-000034"":50,""ST-000040"":50,""ST-000035"":50,""ST-000041"":50,""ST-000042"":50,""ST-000244"":50,""ST-000013"":50,""ST-000011"":50,""ST-000012"":50,""ST-000017"":50,""ST-000008"":50,""ST-000019"":50,""ST-000024"":50,""ST-000029"":50,""ST-000018"":50,""ST-000030"":50,""ST-000020"":50,""ST-000027"":50,""ST-000031"":50,""ST-000032"":50,""ST-000028"":50,""ST-000022"":50}","69a4b81bbabcabb1a90083b6","https://res.cloudinary.com/dnp8eionl/image/upload/v1775759788/microrave/avatars/cxhyn5ycdzozahafpd5x.jpg","0","69d7eb206528d1cfcf49b1cf","0","[""music""]","","[]","[""ST-000074"",""ST-000238"",""ST-000239"",""ST-000240"",""ST-000241"",""ST-000242"",""ST-000243"",""ST-000036"",""ST-000014"",""ST-000015"",""ST-000016"",""ST-000021"",""ST-000025"",""ST-000033"",""ST-000037"",""ST-000026"",""ST-000038"",""ST-000034"",""ST-000040"",""ST-000035"",""ST-000041"",""ST-000042"",""ST-000244"",""ST-000013"",""ST-000011"",""ST-000012"",""ST-000017"",""ST-000008"",""ST-000019"",""ST-000024"",""ST-000029"",""ST-000018"",""ST-000030"",""ST-000020"",""ST-000027"",""ST-000031"",""ST-000032"",""ST-000028"",""ST-000022""]","69d7eb26af4733ce828ff70e","2026-04-09T18:08:38.475000","2026-04-14T13:32:52.615000","69d7eb206528d1cfcf49b1cf","false"
"Younes Baaomar","not_started","","1NBZTIWK","10","[""RL-000008""]","[]","[]","0","0","[]","4.8","[]","MRMD9AYA0R","","[""Explorer""]","","{""ST-000244"":50,""ST-000017"":50}","698c747aee05acfdd23ea578","","4.8","69d6986bf4e0b9a5127f24c0","0","[""music""]","","[]","[""ST-000244"",""ST-000017""]","69d69883b45afc98a683bac1","2026-04-08T18:03:47.338000","2026-04-08T18:17:47.192000","69d6986bf4e0b9a5127f24c0","false"
"Karl Grenier","","","","0","[]","[]","","0","0","[]","0","","MRNYZMCSK1","","[]","","{}","","","0","69d449222a51d54b45014e82","0","[]","","[]","[]","69d449273b8b8b9cac842a5a","2026-04-07T00:00:39.557000","2026-04-07T00:00:39.718000","69d449222a51d54b45014e82","false"
"Le Chat","","Chat de Chanana","MRAYY9VNXS","0","[""RL-000010""]","[]","","0","0","[]","0","","MRHCGEEUAY","","[]","","{""ST-000210"":50,""ST-000209"":50,""ST-000212"":50}","69cc8733c3fe5f1da80ba357","","0","69d0f935f991802a401f552b","0","[]","","[]","[""ST-000211"",""ST-000210"",""ST-000209"",""ST-000212""]","69d0f942d3d6ab1fb1be2dc7","2026-04-04T11:42:58.244000","2026-04-04T13:27:35.174000","69d0f935f991802a401f552b","false"
"James G","active","","1NBZTIWK","120","[""RL-000008"",""RL-000029"",""RL-000062""]","[]","","0","0","[]","3.71","","MRLWTVXKFB","","[""Explorer""]","","{""ST-000239"":50,""ST-000102"":50,""ST-000097"":50,""ST-000177"":50}","698c747aee05acfdd23ea578","https://res.cloudinary.com/dnp8eionl/image/upload/v1776954423/microrave/avatars/ssd0c0mpalgh56pofjni.png","3.71","69cd302266f2193a99122757","7180","[""music"",""humour"",""boisson""]","acct_1TNu0OE1pkPYEQBM","[""Vendeur""]","[""ST-000239"",""ST-000102"",""ST-000097"",""ST-000177""]","69cfb4f63d7d7523c6fda2ef","2026-04-03T12:39:18.767000","2026-04-24T13:57:01.501000","69cd302266f2193a99122757","false"
"Fatal Gravity","","","MR7I8328AZ","10","[""RL-000008""]","[]","","0","0","[]","5","","MR2X9SAU24","","[""Explorer""]","","{""ST-000238"":50}","69b4a8115562898f235bf638","https://res.cloudinary.com/dnp8eionl/image/upload/v1775056357/microrave/avatars/q8i9h324h3ktv544jack.jpg","5","69cc5fb8d599c99df1e75f81","0","[]","","","[""ST-000239"",""ST-000241"",""ST-000238""]","69cc94bc8aa63a255373cdf9","2026-04-01T03:45:00.953000","2026-04-01T16:54:49.693000","69cc5fb8d599c99df1e75f81","false"
"Camille Robitaille","not_started","","AJ95RKNW","10","[""RL-000008""]","[]","","0","0","[]","3.17","","MRAYY9VNXS","","[""Explorer""]","","{""ST-000075"":50,""ST-000192"":50}","6992452c5bcc41af3a3296fa","https://res.cloudinary.com/dnp8eionl/image/upload/v1775058733/microrave/avatars/qcvyvx02amrpdn7udr5e.jpg","3.17","69cc8733c3fe5f1da80ba357","0","[""music""]","","[]","[""ST-000075"",""ST-000192""]","69cc87eb088cad0429874598","2026-04-01T02:50:19.852000","2026-04-20T02:40:50.834000","69cc8733c3fe5f1da80ba357","false"
