rolePrefs,stylePrefs,domainAffinity,checkpointPrefs,userId,updatedAt,id,created_date,updated_date,created_by_id,is_sample
"{""RL-000010"":{""active"":true},""RL-000009"":{""active"":true}}","{""ST-000201"":{""active"":true,""weight"":50},""ST-000200"":{""active"":true,""weight"":50}}","","{}","69f0ffc2193f2d4d0a7bcbfa","2026-04-28T18:50:58.539Z","69f0ffda13bc1134fb9da7e4","2026-04-28T18:43:38.096000","2026-04-28T18:50:58.655000","69f0ffc2193f2d4d0a7bcbfa","false"
"{""RL-000008"":{""active"":true}}","{""ST-000083"":{""active"":true,""weight"":50},""ST-000084"":{""active"":true,""weight"":50},""ST-000085"":{""active"":true,""weight"":50},""ST-000081"":{""active"":true,""weight"":50}}","{""music"":0.508,""humour"":0.5,""photo"":0.5,""video"":0.5,""food"":0.5,""art"":0.5,""responsable"":0.5}","{}","698e858b74f154c27031dcab","2026-04-23T19:58:21.853Z","69e57b3bf69f86d0f74d5325","2026-04-20T01:02:51.890000","2026-04-23T19:58:23.697000","698e858b74f154c27031dcab","false"
"{}","{}","","{}","69e2c9b54aa4253a0f3e7b36","","69e2c9cc370ba842747b99bb","2026-04-18T00:01:16.956000","2026-04-18T00:01:16.956000","69e2c9b54aa4253a0f3e7b36","false"
"{""RL-000008"":{""active"":true},""RL-000026"":{""active"":true}}","{""ST-000074"":{""active"":true,""weight"":50},""ST-000238"":{""active"":true,""weight"":50},""ST-000239"":{""active"":true,""weight"":50},""ST-000240"":{""active"":true,""weight"":50},""ST-000241"":{""active"":true,""weight"":50},""ST-000242"":{""active"":true,""weight"":50},""ST-000243"":{""active"":true,""weight"":50},""ST-000036"":{""active"":true,""weight"":50},""ST-000014"":{""active"":true,""weight"":50},""ST-000015"":{""active"":true,""weight"":50},""ST-000016"":{""active"":true,""weight"":50},""ST-000021"":{""active"":true,""weight"":50},""ST-000025"":{""active"":true,""weight"":50},""ST-000033"":{""active"":true,""weight"":50},""ST-000037"":{""active"":true,""weight"":50},""ST-000026"":{""active"":true,""weight"":50},""ST-000038"":{""active"":true,""weight"":50},""ST-000034"":{""active"":true,""weight"":50},""ST-000040"":{""active"":true,""weight"":50},""ST-000035"":{""active"":true,""weight"":50},""ST-000041"":{""active"":true,""weight"":50},""ST-000042"":{""active"":true,""weight"":50},""ST-000244"":{""active"":true,""weight"":50},""ST-000013"":{""active"":true,""weight"":50},""ST-000011"":{""active"":true,""weight"":50},""ST-000012"":{""active"":true,""weight"":50},""ST-000017"":{""active"":true,""weight"":50},""ST-000008"":{""active"":true,""weight"":50},""ST-000019"":{""active"":true,""weight"":50},""ST-000024"":{""active"":true,""weight"":50},""ST-000029"":{""active"":true,""weight"":50},""ST-000018"":{""active"":true,""weight"":50},""ST-000030"":{""active"":true,""weight"":50},""ST-000020"":{""active"":true,""weight"":50},""ST-000027"":{""active"":true,""weight"":50},""ST-000031"":{""active"":true,""weight"":50},""ST-000032"":{""active"":true,""weight"":50},""ST-000028"":{""active"":true,""weight"":50},""ST-000022"":{""active"":true,""weight"":50}}","","{}","69d7eb206528d1cfcf49b1cf","2026-04-09T19:06:13.563Z","69d7eb287e916fe02aa2454d","2026-04-09T18:08:40.563000","2026-04-09T19:06:12.413000","69d7eb206528d1cfcf49b1cf","false"
"{""RL-000008"":{""active"":true}}","{""ST-000244"":{""active"":true,""weight"":50},""ST-000017"":{""active"":true,""weight"":50}}","","{}","69d6986bf4e0b9a5127f24c0","2026-04-08T18:17:46.593Z","69d698869abce5c192b5289d","2026-04-08T18:03:50.318000","2026-04-08T18:17:46.793000","69d6986bf4e0b9a5127f24c0","false"
"{}","{}","","{}","69d449222a51d54b45014e82","","69d44928f185605d22096d1e","2026-04-07T00:00:40.012000","2026-04-07T00:00:40.012000","69d449222a51d54b45014e82","false"
"{""RL-000010"":{""active"":true}}","{""ST-000211"":{""active"":true,""weight"":50},""ST-000210"":{""active"":true,""weight"":50},""ST-000209"":{""active"":true,""weight"":50},""ST-000212"":{""active"":true,""weight"":50}}","","{}","69d0f935f991802a401f552b","2026-04-04T11:44:34.675Z","69d0f942e247052b4717b69d","2026-04-04T11:42:58.752000","2026-04-04T11:44:36.580000","69d0f935f991802a401f552b","false"
"{""RL-000008"":{""active"":true},""RL-000029"":{""active"":true},""RL-000062"":{""active"":true}}","{""ST-000239"":{""active"":true,""weight"":50},""ST-000102"":{""active"":true,""weight"":50},""ST-000097"":{""active"":true,""weight"":50},""ST-000177"":{""active"":true,""weight"":50}}","{""music"":0.516,""humour"":0.5,""photo"":0.5,""video"":0.5,""food"":0.5,""art"":0.5,""responsable"":0.5}","{}","69cd302266f2193a99122757","2026-04-22T16:50:58.866Z","69cd3028a9254c3f70245b79","2026-04-01T14:48:08.973000","2026-04-22T16:50:59.936000","69cd302266f2193a99122757","false"
"{""RL-000008"":{""active"":true}}","{""ST-000142"":{""active"":true,""weight"":50}}","","{}","69cd257a730ebe2ef6475b78","2026-04-01T14:02:55.275Z","69cd257e02e8479faad94c40","2026-04-01T14:02:38.451000","2026-04-01T14:02:55.672000","69cd257a730ebe2ef6475b78","false"
"{""RL-000008"":{""active"":true}}","{""ST-000104"":{""active"":true,""weight"":50}}","","{}","69cd1f9520e868b912b57c53","2026-04-01T13:37:42.610Z","69cd1f9bad4ca22a93778b0c","2026-04-01T13:37:31.260000","2026-04-01T13:37:43.028000","69cd1f9520e868b912b57c53","false"
"{""RL-000008"":{""active"":true}}","{""ST-000239"":{""active"":true,""weight"":50},""ST-000241"":{""active"":true,""weight"":50},""ST-000238"":{""active"":true,""weight"":50}}","","{}","69cc5fb8d599c99df1e75f81","2026-04-01T15:41:39.419Z","69cc94bd32673c363481dbf1","2026-04-01T03:45:01.503000","2026-04-01T15:41:39.880000","69cc5fb8d599c99df1e75f81","false"
