entryType,eventId,note,accountCode,relatedEntryId,amount_cents,payoutSplitId,credit_cents,codeFlux,stripeEventId,recipientUserId,codeComptable,createdAt,stripeRef,debit_cents,currency,payerUserId,debitCredit,id,created_date,updated_date,created_by_id,created_by,is_sample
"stripe_fees","69fca7dac209ef5fdbe66a06","Frais Stripe dépôt — 5.42$ CAD [Cr stripe_balance]","stripe_balance","69fca93aec99f7bebac193ae","542","","542","DEC-FRAIS","","","5100","2026-05-07T15:01:14.116Z","pi_3TUTMvChRZW5v2uy19LOxekf","0","CAD","","credit","69fca93a4b899ed4f408486b","2026-05-07T15:01:14.575000","2026-05-07T15:01:14.575000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"stripe_fees","69fca7dac209ef5fdbe66a06","Frais Stripe dépôt — 5.42$ CAD [Dr stripe_fees_expense]","stripe_fees_expense","69fca93a4b899ed4f408486b","542","","0","DEC-FRAIS","","","6110","2026-05-07T15:01:14.116Z","pi_3TUTMvChRZW5v2uy19LOxekf","542","CAD","","debit","69fca93aec99f7bebac193ae","2026-05-07T15:01:14.345000","2026-05-07T15:01:14.861000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"escrow_released","69fca7dac209ef5fdbe66a06","Escrow libéré — cachet talent — 138.30$ CAD [Cr stripe_balance]","stripe_balance","69fca939fe5b5f5e559d30d7","13830","","13830","INT-ESCROW","","","5100","2026-05-07T15:01:12.906Z","pi_3TUTMvChRZW5v2uy19LOxekf","0","CAD","","credit","69fca93939e8734b10185478","2026-05-07T15:01:13.412000","2026-05-07T15:01:13.412000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"escrow_released","69fca7dac209ef5fdbe66a06","Escrow libéré — cachet talent — 138.30$ CAD [Dr talent_payable]","talent_payable","69fca93939e8734b10185478","13830","","0","INT-ESCROW","","","4310","2026-05-07T15:01:12.906Z","pi_3TUTMvChRZW5v2uy19LOxekf","13830","CAD","","debit","69fca939fe5b5f5e559d30d7","2026-05-07T15:01:13.181000","2026-05-07T15:01:13.720000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"deposit_captured","69fca7dac209ef5fdbe66a06","Dépôt capturé — event 69fca7dac209ef5fdbe66a06 — 138.30$ CAD [Cr stripe_clearing]","stripe_clearing","69fca93753de70ff6fc6aedd","13830","","13830","INT-CAPTURE","","","5200","2026-05-07T15:01:11.686Z","pi_3TUTMvChRZW5v2uy19LOxekf","0","CAD","","credit","69fca938d19095d85fe5dc83","2026-05-07T15:01:12.304000","2026-05-07T15:01:12.304000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"deposit_captured","69fca7dac209ef5fdbe66a06","Dépôt capturé — event 69fca7dac209ef5fdbe66a06 — 138.30$ CAD [Dr stripe_balance]","stripe_balance","69fca938d19095d85fe5dc83","13830","","0","INT-CAPTURE","","","5100","2026-05-07T15:01:11.686Z","pi_3TUTMvChRZW5v2uy19LOxekf","13830","CAD","","debit","69fca93753de70ff6fc6aedd","2026-05-07T15:01:11.972000","2026-05-07T15:01:12.534000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"stripe_fees","69fca7dac209ef5fdbe66a06","Frais Stripe prélevés par Stripe — 20.92$","stripe_balance","69fca8ea80e7fbf6a0cee44d","2092","","2092","DEC-FRAIS","","","5100","2026-05-07T14:59:53.078Z","pi_3TUTOaChRZW5v2uy0gzllneP","0","CAD","69f2739b8a9489588db01d2c","credit","69fca8ebe82005bf8cb2e254","2026-05-07T14:59:55.151000","2026-05-07T14:59:55.547000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"stripe_fees","69fca7dac209ef5fdbe66a06","Frais Stripe — 20.92$","stripe_fees_expense","69fca8ebe82005bf8cb2e254","2092","","0","DEC-FRAIS","","","6110","2026-05-07T14:59:53.078Z","pi_3TUTOaChRZW5v2uy0gzllneP","2092","CAD","69f2739b8a9489588db01d2c","debit","69fca8ea80e7fbf6a0cee44d","2026-05-07T14:59:54.602000","2026-05-07T14:59:55.373000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"tax_collected","69fca7dac209ef5fdbe66a06","TVQ 9.975% sur commission — 2.65$","tvq_payable","","265","","265","ANA-TAXE","","","4420","2026-05-07T14:59:53.078Z","pi_3TUTOaChRZW5v2uy0gzllneP","0","CAD","69f2739b8a9489588db01d2c","credit","69fca8ea262d5b2eeee86ea4","2026-05-07T14:59:54.355000","2026-05-07T14:59:54.355000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"tax_collected","69fca7dac209ef5fdbe66a06","TPS 5% sur commission — 1.33$","tps_payable","","133","","133","ANA-TAXE","","","4410","2026-05-07T14:59:53.078Z","pi_3TUTOaChRZW5v2uy0gzllneP","0","CAD","69f2739b8a9489588db01d2c","credit","69fca8ea94fc4605f654ae51","2026-05-07T14:59:54.064000","2026-05-07T14:59:54.064000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
