calculationType,eventId,note,amount_cents,payoutId,roleType,recipientUserId,stripeTransferId,createdAt,basis_amount_cents,paidAt,currency,effectiveCommissionRate,status,updatedAt,id,created_date,updated_date,created_by_id,created_by,is_sample
"refund","69fca0713d590690d6058ba1","No-show remboursé au payeur — talent e82a5e contrat 100$ = 100.0% × salePrice 107.37$ = 107.37$","10737","69fca2065e6d81979bbd9c91","talent_noshow_refund","","","2026-05-07T14:31:11.439Z","10000","","CAD","","pending","2026-05-07T14:31:11.439Z","69fca2318036af520b3dcd96","2026-05-07T14:31:13.713000","2026-05-07T14:31:13.713000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"refund","69f6041b11fc961b649e5c6f","No-show remboursé au payeur — talent e82a5e contrat 35$ = 100.0% × salePrice 44.49$ = 44.49$","4449","69fc91ef56ff8e61e1392d9d","talent_noshow_refund","","","2026-05-07T13:42:06.794Z","3500","","CAD","","pending","2026-05-07T13:42:06.794Z","69fc96b171c93fd3f8690672","2026-05-07T13:42:09.118000","2026-05-07T13:42:09.118000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"refund","69f615b84b21070e1ca0f945","No-show remboursé au payeur — talent e82a5e contrat 100$ = 100.0% × salePrice 106.94$ = 106.94$","10694","69fc95045cb9c2428cf1e324","talent_noshow_refund","","","2026-05-07T13:41:55.140Z","10000","","CAD","","pending","2026-05-07T13:41:55.140Z","69fc96a5a004ed2dd6bfc3fc","2026-05-07T13:41:57.308000","2026-05-07T13:41:57.308000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"refund","69fbdbb490d487eed858f63b","No-show remboursé au payeur — talent b01d2c contrat 9260$ = 100.0% × salePrice 9796.87$ = 9796.87$","979687","69fbe023190b835dc74fb4c5","talent_noshow_refund","","","2026-05-07T13:39:55.953Z","926000","","CAD","","pending","2026-05-07T13:39:55.953Z","69fc962e72c8f7eedebcf225","2026-05-07T13:39:58.418000","2026-05-07T13:39:58.418000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69fb72f19a83df199bb7f9a1","Courtage annulation 5% sur part e82a5e (209.79$)","1049","69fc91f59d1ee33aeb769908","platform_fee","","","2026-05-07T13:21:58.389Z","20979","2026-05-07T13:48:55.131Z","CAD","","paid","2026-05-07T13:48:55.131Z","69fc91f9440a98627021219f","2026-05-07T13:22:01.147000","2026-05-07T13:49:09.731000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"proportional_deposit","69fb72f19a83df199bb7f9a1","Part dépôt annulation — contrat 1000$ × 100.0% = 209.79$ - fee 5% = 199.3$","19930","69fc91f59d1ee33aeb769908","talent_payout","69f2706d181676bbd6e82a5e","tr_1TUSIXChRZW5v2uyftYLYkpp","2026-05-07T13:21:58.389Z","100000","2026-05-07T13:48:55.131Z","CAD","0.05","paid","2026-05-07T13:48:55.131Z","69fc91f811d3b743bed5948d","2026-05-07T13:22:00.959000","2026-05-07T13:49:06.586000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69fbe524f616000802723a69","Courtage annulation 5% sur part b01d2c (1936.18$)","9681","69fc91e66806c205cf8d8e60","platform_fee","","","2026-05-07T13:21:43.321Z","193618","","CAD","","pending","2026-05-07T13:21:43.321Z","69fc91eae891e5f8b84d4fb6","2026-05-07T13:21:46.493000","2026-05-07T13:21:46.493000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"proportional_deposit","69fbe524f616000802723a69","Part dépôt annulation — contrat 9260$ × 100.0% = 1936.18$ - fee 5% = 1839.37$","183937","69fc91e66806c205cf8d8e60","talent_payout","69f2739b8a9489588db01d2c","","2026-05-07T13:21:43.321Z","926000","","CAD","0.05","pending","2026-05-07T13:21:43.321Z","69fc91e9dbfd11d464e913dd","2026-05-07T13:21:45.973000","2026-05-07T13:21:45.973000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"percentage_post","69f61a9031cab8fcbbdbbf37","Courtage annulation 5% sur part 28fd92 (43.56$)","218","69fc90bdbd5ab057a9310387","platform_fee","","","2026-05-07T13:16:45.813Z","4356","","CAD","","pending","2026-05-07T13:16:45.813Z","69fc90c0e5adcc2673c30d35","2026-05-07T13:16:48.542000","2026-05-07T13:16:48.542000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"proportional_deposit","69f61a9031cab8fcbbdbbf37","Part dépôt annulation — contrat 100$ × 100.0% = 43.56$ - fee 5% = 41.38$","4138","69fc90bdbd5ab057a9310387","talent_payout","69f62cd5271164a83828fd92","","2026-05-07T13:16:45.813Z","10000","","CAD","0.05","pending","2026-05-07T13:16:45.813Z","69fc90c0faf53c02a125a2c0","2026-05-07T13:16:48.356000","2026-05-07T13:16:48.356000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
