systemId,bioFr,parentSystemId,color,level,contributesToCheckpointDomains,nameFr,active,medianRate,nameEn,maxRate,racineSystemId,roleType,sotsGlobalScore,roleTags,sotsRecent30Score,totalVotes,isBase,domainKey,slug,xpRequired,id,created_date,updated_date,created_by_id,created_by,is_sample
"RL-000002","Professionnel de la photographie","","#485696","1","true","Photographe","true","100","Photograph","500","RL-000009","talent","0","[""photo""]","0","0","true","photo","","0","69f4acb10ecafcfccf5d2a9c","2026-05-01T13:37:53.978000","2026-05-01T13:37:53.978000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"RL-000003","Cinéaste qui emploie les techniques de la vidéo pour réalisation esthétique. ou commerciale","","#485696","1","true","Vidéaste","true","80","Videographers","160","RL-000010","talent","0","[""video""]","0","0","true","video","","0","69f4acb10ecafcfccf5d2a9d","2026-05-01T13:37:53.978000","2026-05-01T13:37:53.978000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"RL-000010","Débarrassage et support logistique du service en salle.","","#0EA5E9","1","true","Bussboy","true","","Busser","","RL-000060","talent","0","[""boisson""]","0","0","false","boisson","bussboy","0","69f4acb10ecafcfccf5d2aa4","2026-05-01T13:37:53.978000","2026-05-01T13:37:53.978000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"RL-000014","","","","1","true","Tests substances psychotropes","true","","","","RL-001003","talent","0","[""responsable""]","0","0","false","responsable","","0","69f4acb10ecafcfccf5d2aa8","2026-05-01T13:37:53.978000","2026-05-01T13:37:53.978000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"RL-000004","","","#dd00ff","1","true","Traiteur","true","","Catering","","RL-000004","talent","0","[""food""]","0","0","false","food","","0","69f4acb10ecafcfccf5d2a9e","2026-05-01T13:37:53.978000","2026-05-01T13:37:53.978000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"RL-000005","","","#485696","1","true","Humoriste","true","50","Comic","3500","RL-000001","talent","0","[""humour""]","0","0","true","humour","","0","69f4acb10ecafcfccf5d2a9f","2026-05-01T13:37:53.978000","2026-05-01T13:37:53.978000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"RL-000013","","","","1","true","Sentinelle safe space","true","","","","RL-001002","talent","0","[""responsable""]","0","0","false","responsable","","0","69f4acb10ecafcfccf5d2aa7","2026-05-01T13:37:53.978000","2026-05-01T13:37:53.978000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"RL-000006","","","#485696","1","true","Danseur","true","25","Dancer","120","RL-000001","talent","0","[""music""]","0","0","false","music","","0","69f4acb10ecafcfccf5d2aa0","2026-05-01T13:37:53.978000","2026-05-01T13:37:53.978000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"RL-000009","Service en salle — distribution et présentation des boissons.","","#0EA5E9","1","true","Serveur","true","","Server","","RL-000061","talent","0","[""boisson""]","0","0","false","boisson","serveur","0","69f4acb10ecafcfccf5d2aa3","2026-05-01T13:37:53.978000","2026-05-01T13:37:53.978000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"RL-000011","","","","1","true","Sécurité","true","","Security","","RL-000101","talent","0","[""responsable""]","0","0","false","responsable","","0","69f4acb10ecafcfccf5d2aa5","2026-05-01T13:37:53.978000","2026-05-01T13:37:53.978000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"RL-000012","","","","1","true","Raccompagnement","true","","","","RL-001001","talent","0","[""responsable""]","0","0","false","responsable","","0","69f4acb10ecafcfccf5d2aa6","2026-05-01T13:37:53.978000","2026-05-01T13:37:53.978000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"RL-000008","Prépare et sert des cocktails et boissons en événement.","","#0EA5E9","1","true","Barman","true","","Bartender","","RL-000060","talent","0","[""boisson""]","0","0","false","boisson","barman","0","69f4acb10ecafcfccf5d2aa2","2026-05-01T13:37:53.978000","2026-05-01T13:37:53.978000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"RL-000007","","","#485696","1","true","Animateur","true","50","Animator","2500","RL-000025","talent","0","[""humour""]","0","0","false","humour","","0","69f4acb10ecafcfccf5d2aa1","2026-05-01T13:37:53.978000","2026-05-01T13:37:53.978000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"RL-000001","Sélectionne, diffuse et mixe de la musique à destination d'un public","","#485696","1","true","DJ","true","75","DJ","300","RL-000001","talent","0","[""music""]","0","0","true","music","","0","69f4acb10ecafcfccf5d2a9b","2026-05-01T13:37:53.978000","2026-05-01T13:37:53.978000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
