evaluatorWeightSnapshot,sessionStyleSystemIds,wouldRecommend,evaluatorStyleSystemIds,scoreWeighted,sessionType,fairnessResourcefulness,communication,sotsBreakdown,evaluatorRoleSystemId,evaluatorUserId,roleSystemId,targetId,sessionRoleSystemId,sessionCheckpointSystemId,sessionTags,funWork,targetType,sessionId,toxicityAvoidance,tags,attitudePositivity,sessionStyleSystemId,styleSystemIds,checkpointSystemId,scoreRaw,comment,id,created_date,updated_date,created_by_id,created_by,is_sample
"7.6158","[]","true","[]","38.079","event","5","5","","RL-000007","69f2706d181676bbd6e82a5e","RL-ORGANIZER","69f218c618cc26dee7ae01ce","RL-ORGANIZER","NC-0000000161","[""RL-ORGANIZER"",""NC-0000000161""]","5","user","69f615b959bdb5b53e2a55d7","5","[]","5","","[]","NC-0000000161","5","","69fc951d1884d3367009d242","2026-05-07T13:35:25.778000","2026-05-07T13:35:25.778000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.7912","[]","true","[]","33.956","event","5","5","","RL-ORGANIZER","69f218c618cc26dee7ae01ce","RL-000007","69f2706d181676bbd6e82a5e","RL-000007","NC-0000000161","[""RL-000007"",""NC-0000000161""]","5","user","69f615b959bdb5b53e2a55d7","5","[]","5","","[]","NC-0000000161","5","","69fc9518e19ea4feee4b858e","2026-05-07T13:35:20.593000","2026-05-07T13:35:20.593000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"7.8438","[]","true","[]","39.219","event","5","5","","RL-AUDIENCE","69f62cd5271164a83828fd92","RL-ORGANIZER","69f218c618cc26dee7ae01ce","RL-ORGANIZER","NC-0000000161","[""RL-ORGANIZER"",""NC-0000000161""]","5","user","69f615b959bdb5b53e2a55d7","5","[]","5","","[]","NC-0000000161","5","","69fc9513fec03ab1c6e12084","2026-05-07T13:35:15.065000","2026-05-07T13:35:15.065000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"7.8438","[]","true","[]","39.219","event","5","5","","RL-AUDIENCE","69f62cd5271164a83828fd92","RL-000007","69f2706d181676bbd6e82a5e","RL-000007","NC-0000000161","[""RL-000007"",""NC-0000000161""]","5","user","69f615b959bdb5b53e2a55d7","5","[]","5","","[]","NC-0000000161","5","","69fc95127a3c96ae7b0fcf1b","2026-05-07T13:35:14.856000","2026-05-07T13:35:14.856000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.7249","[]","true","[]","33.6245","event","5","5","","RL-ORGANIZER","69f218c618cc26dee7ae01ce","RL-000002","69f2706d181676bbd6e82a5e","RL-000002","NC-0000000058","[""RL-000002"",""NC-0000000058""]","5","user","69f6041c8f9287ae5e807a1d","5","[]","5","","[]","NC-0000000058","5","","69fc91ff3ccb412e6d6bb588","2026-05-07T13:22:07.463000","2026-05-07T13:22:07.463000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"7.506","[]","false","[]","18.0144","event","2","2","","RL-000002","69f2706d181676bbd6e82a5e","RL-ORGANIZER","69f218c618cc26dee7ae01ce","RL-ORGANIZER","NC-0000000058","[""RL-ORGANIZER"",""NC-0000000058""]","3","user","69f6041c8f9287ae5e807a1d","3","[]","2","","[]","NC-0000000058","2.4","","69fc91f9155e6af50e6c3513","2026-05-07T13:22:01.783000","2026-05-07T13:22:01.783000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"8.0007","[]","false","[]","8.0007","event","1","1","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000001","69f2739b8a9489588db01d2c","RL-000001","NC-0000000058","[""RL-000001"",""NC-0000000058""]","1","user","69fbdbb62a999217b81b51ea","1","[]","1","","[]","NC-0000000058","1","","69fbe4b909854ed19ea2e854","2026-05-07T01:02:49.547000","2026-05-07T01:02:49.547000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.3456","[]","true","[]","6.3456","event","1","1","","RL-AUDIENCE","69f218c618cc26dee7ae01ce","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-ORGANIZER","NC-0000000058","[""RL-ORGANIZER"",""NC-0000000058""]","1","user","69fbdbb62a999217b81b51ea","1","[]","1","","[]","NC-0000000058","1","","69fbe49fcc2f304334a22883","2026-05-07T01:02:23.507000","2026-05-07T01:02:23.507000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.3456","[]","true","[]","6.3456","event","1","1","","RL-AUDIENCE","69f218c618cc26dee7ae01ce","RL-000001","69f2739b8a9489588db01d2c","RL-000001","NC-0000000058","[""RL-000001"",""NC-0000000058""]","1","user","69fbdbb62a999217b81b51ea","1","[]","1","","[]","NC-0000000058","1","","69fbe49fffd3e29c54d94f41","2026-05-07T01:02:23.263000","2026-05-07T01:02:23.263000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.3456","[]","true","[]","31.728","event","5","5","","RL-000001","69f2739b8a9489588db01d2c","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-ORGANIZER","NC-0000000165","[""RL-ORGANIZER"",""NC-0000000165""]","5","user","69fb4c367fe5403a94bb7979","5","[]","5","","[]","NC-0000000165","5","","69fbd38c714ebea10e0cfb23","2026-05-06T23:49:32.579000","2026-05-06T23:49:32.579000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"7.7536","[]","false","[]","7.7536","event","1","1","","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-000001","69f2739b8a9489588db01d2c","RL-000001","NC-0000000165","[""RL-000001"",""NC-0000000165""]","1","user","69fb4c367fe5403a94bb7979","1","[]","1","","[]","NC-0000000165","1","","69fbd3868215181bfd0d9cf8","2026-05-06T23:49:26.187000","2026-05-06T23:49:26.187000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"6.1851","[]","true","[]","30.9255","event","5","5","","RL-000003","69f2739b8a9489588db01d2c","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-ORGANIZER","NC-0000000165","[""RL-ORGANIZER"",""NC-0000000165""]","5","user","69fb48b5d135886933200c9f","5","[]","5","","[]","NC-0000000165","5","","69fbd2ab731424749fdec04e","2026-05-06T23:45:47.988000","2026-05-06T23:45:47.988000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"7.506","[]","true","[]","15.012","event","2","2","","RL-AUDIENCE","69f2706d181676bbd6e82a5e","RL-ORGANIZER","69f62cd5271164a83828fd92","RL-ORGANIZER","NC-0000000165","[""RL-ORGANIZER"",""NC-0000000165""]","2","user","69fb48b5d135886933200c9f","2","[]","2","","[]","NC-0000000165","2","","69fbd2a7c30bbda6b07a0d2f","2026-05-06T23:45:43.163000","2026-05-06T23:45:43.163000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"7.506","[]","true","[]","15.012","event","2","2","","RL-AUDIENCE","69f2706d181676bbd6e82a5e","RL-000003","69f2739b8a9489588db01d2c","RL-000003","NC-0000000165","[""RL-000003"",""NC-0000000165""]","2","user","69fb48b5d135886933200c9f","2","[]","2","","[]","NC-0000000165","2","","69fbd2a4370c51bb1b00bae4","2026-05-06T23:45:40.785000","2026-05-06T23:45:40.785000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
