actualEndAt,hostUserId,moodFilterSnapshot,lockedAt,launchRequestedAt,sessionType,captainUserId,actualStartAt,startAt,participants,eventId,maxPlayers,scheduledStartAt,minPlayers,referrerId,checkpointLockedAt,totalPresenceCount,audienceCountFrozen,originContext,lobbyOpenedAt,slots,checkpointSystemId,artistCount,sotsSubmittedBy,launchedByUserId,audienceCount,checkpointLockedByUserId,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"","69f2706d181676bbd6e82a5e","{""lineupScenes"":[{""sceneId"":""sc-1"",""label"":""Scène principale"",""icon"":""🎛""}],""lineupSchedule"":[{""plageId"":""p-1"",""label"":""Peak"",""timeStart"":""2027-03-01T10:00:00.000Z"",""timeEnd"":""2027-03-01T13:00:00.000Z""}],""lineupPlacements"":{""SL-69fca7db3897a437cd3ce6ab-0:69f62cd5271164a83828fd92:sc-1:p-1"":{""slotId"":""SL-69fca7db3897a437cd3ce6ab-0"",""userId"":""69f62cd5271164a83828fd92"",""sceneId"":""sc-1"",""plageId"":""p-1"",""roleSystemId"":""RL-000002"",""assignedPrice"":665,""assignedStyleSystemIds"":[],""isPlaced"":true,""_pricingMeta"":{""hourlyRate"":87.12,""workedMin"":180,""requiredMin"":180,""billableMin"":180,""allocationRatio"":1,""blockSize"":1},""_primeMeta"":{""sots"":""+5%"",""xp"":""+4% (niv.6)"",""offreDemande"":""N/A""},""_primeMultiplier"":1.089,""priceIsOverridden"":true,""priceOverridedAt"":""2026-05-07T14:56:03.666Z"",""calculatedPrice"":261,""proposalId"":""69fca8072eaed0e40f10e3e9"",""proposalStatus"":""accepted"",""proposedBy"":""69f2706d181676bbd6e82a5e"",""proposedAt"":""2026-05-07T14:56:03.666Z"",""talentCounterPrice"":665,""talentResponseNote"":null}}}","","","event","","2026-05-07T15:01:17.438Z","","[{""submittedBallot"":false,""roleSystemId"":""RL-000002"",""styleSystemIds"":[],""joinedAt"":""2026-05-07T14:55:39.902Z"",""styleSystemId"":null,""sotsSubmitted"":null,""userId"":""69f62cd5271164a83828fd92"",""isNoShow"":null,""status"":""confirmed""},{""submittedBallot"":false,""roleSystemId"":""RL-ORGANIZER"",""styleSystemIds"":[],""joinedAt"":""2026-05-07T15:01:17.438Z"",""styleSystemId"":null,""sotsSubmitted"":false,""userId"":""69f2706d181676bbd6e82a5e"",""isNoShow"":null,""status"":""confirmed""}]","69fca7dac209ef5fdbe66a06","6","","2","","","5","","","","[{""roleSystemId"":""RL-000002"",""candidateUserId"":""69f62cd5271164a83828fd92"",""confirmedBy"":""69f2706d181676bbd6e82a5e"",""candidateStyleSystemIds"":[],""slotId"":""SL-69fca7db3897a437cd3ce6ab-0"",""confirmedAt"":""2026-05-07T14:55:51.542Z"",""status"":""confirmed""}]","NC-0000000165","4","[]","","0","","in_progress","69fca7db3897a437cd3ce6ab","2026-05-07T14:55:23.995000","2026-05-08T13:38:53.645000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"2026-05-07T14:30:25.944Z","69f62cd5271164a83828fd92","{""lineupScenes"":[{""sceneId"":""sc-1"",""label"":""Scène principale"",""icon"":""🎛""}],""lineupSchedule"":[{""plageId"":""p-1"",""label"":""Warmup"",""timeStart"":""2026-07-07T15:00:00.000Z"",""timeEnd"":""2026-07-07T15:36:00.000Z""},{""plageId"":""p-2"",""label"":""Peak"",""timeStart"":""2026-07-07T15:36:00.000Z"",""timeEnd"":""2026-07-07T17:00:00.000Z""}],""lineupPlacements"":{""SL-69fca07373400e80ce966100-0:69f2706d181676bbd6e82a5e:sc-1:p-1"":{""slotId"":""SL-69fca07373400e80ce966100-0"",""userId"":""69f2706d181676bbd6e82a5e"",""sceneId"":""sc-1"",""plageId"":""p-1"",""roleSystemId"":""RL-000008"",""assignedPrice"":100,""assignedStyleSystemIds"":[],""isPlaced"":true,""_pricingMeta"":{""hourlyRate"":104.24,""workedMin"":36,""requiredMin"":36,""billableMin"":36,""allocationRatio"":1,""blockSize"":1},""_primeMeta"":{""sots"":""+10%"",""xp"":""+3% (niv.5)"",""saison"":""+15%"",""offreDemande"":""N/A""},""_primeMultiplier"":1.303,""priceIsOverridden"":true,""priceOverridedAt"":""2026-05-07T14:24:25.232Z"",""calculatedPrice"":63,""proposalId"":""69fca09cd2b42892e087ce0e"",""proposalStatus"":""accepted"",""proposedBy"":""69f62cd5271164a83828fd92"",""proposedAt"":""2026-05-07T14:24:25.232Z"",""talentCounterPrice"":100,""talentResponseNote"":null}}}","","","event","","2026-05-07T14:29:51.190Z","","[{""submittedBallot"":false,""roleSystemId"":""RL-000008"",""styleSystemIds"":[],""joinedAt"":""2026-05-07T14:24:05.784Z"",""styleSystemId"":null,""sotsSubmitted"":null,""userId"":""69f2706d181676bbd6e82a5e"",""isNoShow"":null,""status"":""confirmed""},{""submittedBallot"":false,""roleSystemId"":""RL-ORGANIZER"",""styleSystemIds"":[],""joinedAt"":""2026-05-07T14:29:51.190Z"",""styleSystemId"":null,""sotsSubmitted"":false,""userId"":""69f62cd5271164a83828fd92"",""isNoShow"":null,""status"":""confirmed""}]","69fca0713d590690d6058ba1","6","","2","","","2","0","","","[{""roleSystemId"":""RL-000008"",""candidateUserId"":""69f2706d181676bbd6e82a5e"",""confirmedBy"":""69f62cd5271164a83828fd92"",""candidateStyleSystemIds"":[],""slotId"":""SL-69fca07373400e80ce966100-0"",""confirmedAt"":""2026-05-07T14:24:13.312Z"",""status"":""confirmed""}]","NC-0000000131","1","[]","","0","","completed","69fca07373400e80ce966100","2026-05-07T14:23:47.697000","2026-05-07T14:30:31.088000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"","69f62cd5271164a83828fd92","{""lineupScenes"":[{""sceneId"":""sc-1"",""label"":""Scène principale"",""icon"":""🎛""}],""lineupSchedule"":[{""plageId"":""p-1"",""label"":""Peak"",""timeStart"":""2026-12-02T17:00:00.000Z"",""timeEnd"":""2026-12-02T23:00:00.000Z""}],""lineupPlacements"":{""SL-69fbe9589a64b1eceaa01786-0:69f2706d181676bbd6e82a5e:sc-1:p-1"":{""slotId"":""SL-69fbe9589a64b1eceaa01786-0"",""userId"":""69f2706d181676bbd6e82a5e"",""sceneId"":""sc-1"",""plageId"":""p-1"",""roleSystemId"":""RL-000005"",""assignedPrice"":920,""assignedStyleSystemIds"":[],""isPlaced"":true,""_pricingMeta"":{""hourlyRate"":98.8,""workedMin"":360,""requiredMin"":360,""billableMin"":360,""allocationRatio"":1,""blockSize"":1},""_primeMeta"":{""sots"":""+5%"",""xp"":""+2% (niv.4)"",""saison"":""+15%"",""offreDemande"":""N/A""},""_primeMultiplier"":1.235,""priceIsOverridden"":true,""priceOverridedAt"":""2026-05-07T01:32:21.320Z"",""calculatedPrice"":593,""proposalId"":""69fbebaa858b73d9da247d05"",""proposalStatus"":""accepted"",""proposedBy"":""69f62cd5271164a83828fd92"",""proposedAt"":""2026-05-07T01:32:21.320Z"",""talentCounterPrice"":null,""talentResponseNote"":null}}}","","","event","","","","[{""submittedBallot"":false,""roleSystemId"":""RL-000005"",""styleSystemIds"":[],""joinedAt"":""2026-05-07T01:27:24.272Z"",""styleSystemId"":null,""sotsSubmitted"":null,""userId"":""69f2706d181676bbd6e82a5e"",""isNoShow"":null,""status"":""confirmed""}]","69fbe957da428e030ab90f22","6","","2","","","","","","","[{""roleSystemId"":""RL-000005"",""candidateUserId"":""69f2706d181676bbd6e82a5e"",""confirmedBy"":""69f62cd5271164a83828fd92"",""candidateStyleSystemIds"":[],""slotId"":""SL-69fbe9589a64b1eceaa01786-0"",""confirmedAt"":""2026-05-07T01:27:44.513Z"",""status"":""confirmed""}]","NC-0000000131","","[]","","","","aborted","69fbe9589a64b1eceaa01786","2026-05-07T01:22:32.816000","2026-05-07T13:21:27.591000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"","69f62cd5271164a83828fd92","{""lineupScenes"":[{""sceneId"":""sc-1"",""label"":""Scène principale"",""icon"":""🎛""}],""lineupSchedule"":[{""plageId"":""p-1"",""label"":""Peak"",""timeStart"":""2027-09-11T16:00:00.000Z"",""timeEnd"":""2027-09-11T18:00:00.000Z""}],""lineupPlacements"":{""SL-69fbe52531ef0b45bf50bc6e-0:69f2739b8a9489588db01d2c:sc-1:p-1"":{""slotId"":""SL-69fbe52531ef0b45bf50bc6e-0"",""userId"":""69f2739b8a9489588db01d2c"",""sceneId"":""sc-1"",""plageId"":""p-1"",""roleSystemId"":""RL-000001"",""assignedPrice"":9260,""assignedStyleSystemIds"":[],""isPlaced"":true,""_pricingMeta"":{""hourlyRate"":195.48,""workedMin"":120,""requiredMin"":120,""billableMin"":120,""allocationRatio"":1,""blockSize"":1},""_primeMeta"":{""sots"":""0%"",""jour"":""+10% (WE)"",""xp"":""+2% (niv.3)"",""offreDemande"":""N/A""},""_primeMultiplier"":1.117,""priceIsOverridden"":true,""priceOverridedAt"":""2026-05-07T01:05:28.472Z"",""calculatedPrice"":391,""proposalId"":""69fbe55b9133b5067bca2335"",""proposalStatus"":""accepted"",""proposedBy"":""69f62cd5271164a83828fd92"",""proposedAt"":""2026-05-07T01:05:28.472Z"",""talentCounterPrice"":9260,""talentResponseNote"":null}}}","","","event","","","","[{""submittedBallot"":false,""roleSystemId"":""RL-000001"",""styleSystemIds"":[],""joinedAt"":""2026-05-07T01:05:09.385Z"",""styleSystemId"":null,""sotsSubmitted"":null,""userId"":""69f2739b8a9489588db01d2c"",""isNoShow"":null,""status"":""confirmed""}]","69fbe524f616000802723a69","6","","2","","","","","","","[{""roleSystemId"":""RL-000001"",""candidateUserId"":""69f2739b8a9489588db01d2c"",""confirmedBy"":""69f62cd5271164a83828fd92"",""candidateStyleSystemIds"":[],""slotId"":""SL-69fbe52531ef0b45bf50bc6e-0"",""confirmedAt"":""2026-05-07T01:05:20.363Z"",""status"":""confirmed""}]","NC-0000000131","","[]","","","","aborted","69fbe52531ef0b45bf50bc6e","2026-05-07T01:04:37.743000","2026-05-07T13:21:36.673000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"2026-05-07T00:43:10.269Z","69f62cd5271164a83828fd92","{""lineupScenes"":[{""sceneId"":""sc-1"",""label"":""Scène principale"",""icon"":""🎛""},{""sceneId"":""sc-1778113456398"",""label"":""Micro"",""icon"":""🎤""}],""lineupSchedule"":[{""plageId"":""p-1"",""label"":""Warmup"",""timeStart"":""2026-07-09T14:00:00.000Z"",""timeEnd"":""2026-07-09T15:30:00.000Z""},{""plageId"":""p-2"",""label"":""Peak"",""timeStart"":""2026-07-09T15:30:00.000Z"",""timeEnd"":""2026-07-09T19:00:00.000Z""}],""lineupPlacements"":{""SL-69fbdbb62a999217b81b51ea-0:69f2739b8a9489588db01d2c:sc-1:p-2"":{""slotId"":""SL-69fbdbb62a999217b81b51ea-0"",""userId"":""69f2739b8a9489588db01d2c"",""sceneId"":""sc-1"",""plageId"":""p-2"",""roleSystemId"":""RL-000001"",""assignedPrice"":9260,""assignedStyleSystemIds"":[],""isPlaced"":true,""_pricingMeta"":{""hourlyRate"":204.23,""workedMin"":210,""requiredMin"":210,""billableMin"":210,""allocationRatio"":1,""blockSize"":1},""_primeMeta"":{""sots"":""0%"",""xp"":""+2% (niv.3)"",""saison"":""+15%"",""offreDemande"":""N/A""},""_primeMultiplier"":1.167,""priceIsOverridden"":true,""priceOverridedAt"":""2026-05-07T00:25:57.291Z"",""calculatedPrice"":715,""proposalId"":""69fbdc180cf5cbfb0b5f4c0c"",""proposalStatus"":""accepted"",""proposedBy"":""69f62cd5271164a83828fd92"",""proposedAt"":""2026-05-07T00:25:57.291Z"",""talentCounterPrice"":9260,""talentResponseNote"":null}}}","","","event","","2026-05-07T00:41:08.328Z","","[{""submittedBallot"":false,""roleSystemId"":""RL-000001"",""styleSystemIds"":[],""joinedAt"":""2026-05-07T00:25:16.369Z"",""styleSystemId"":null,""sotsSubmitted"":null,""userId"":""69f2739b8a9489588db01d2c"",""isNoShow"":null,""status"":""confirmed""},{""submittedBallot"":true,""roleSystemId"":""RL-ORGANIZER"",""styleSystemIds"":[],""joinedAt"":""2026-05-07T00:41:08.328Z"",""styleSystemId"":null,""sotsSubmitted"":true,""userId"":""69f62cd5271164a83828fd92"",""isNoShow"":null,""status"":""confirmed""}]","69fbdbb490d487eed858f63b","6","","2","","","3","1","","","[{""roleSystemId"":""RL-000001"",""candidateUserId"":""69f2739b8a9489588db01d2c"",""confirmedBy"":""69f62cd5271164a83828fd92"",""candidateStyleSystemIds"":[],""slotId"":""SL-69fbdbb62a999217b81b51ea-0"",""confirmedAt"":""2026-05-07T00:25:31.271Z"",""status"":""confirmed""}]","NC-0000000058","1","[""69f218c618cc26dee7ae01ce"",""69f62cd5271164a83828fd92""]","","1","","completed","69fbdbb62a999217b81b51ea","2026-05-07T00:24:22.374000","2026-05-07T01:02:49.801000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"","69f62cd5271164a83828fd92","{""lineupScenes"":[{""sceneId"":""sc-1"",""label"":""Scène principale"",""icon"":""🎛""}],""lineupSchedule"":[{""plageId"":""p-1"",""label"":""Peak"",""timeStart"":""2026-09-05T15:00:00.000Z"",""timeEnd"":""2026-09-05T18:00:00.000Z""}],""lineupPlacements"":{""SL-69fbda86bacae598cfec1368-0:69f2739b8a9489588db01d2c:sc-1:p-1"":{""slotId"":""SL-69fbda86bacae598cfec1368-0"",""userId"":""69f2739b8a9489588db01d2c"",""sceneId"":""sc-1"",""plageId"":""p-1"",""roleSystemId"":""RL-000001"",""assignedPrice"":500,""assignedStyleSystemIds"":[],""isPlaced"":true,""_pricingMeta"":{""hourlyRate"":195.48,""workedMin"":180,""requiredMin"":180,""billableMin"":180,""allocationRatio"":1,""blockSize"":1},""_primeMeta"":{""sots"":""0%"",""jour"":""+10% (WE)"",""xp"":""+2% (niv.3)"",""offreDemande"":""N/A""},""_primeMultiplier"":1.117,""priceIsOverridden"":true,""priceOverridedAt"":""2026-05-07T00:20:33.137Z"",""calculatedPrice"":586,""proposalId"":""69fbdad4313121c04cb574a5"",""proposalStatus"":""accepted"",""proposedBy"":""69f62cd5271164a83828fd92"",""proposedAt"":""2026-05-07T00:20:33.137Z"",""talentCounterPrice"":null,""talentResponseNote"":null}}}","","","event","","","","[{""submittedBallot"":false,""roleSystemId"":""RL-000001"",""styleSystemIds"":[],""joinedAt"":""2026-05-07T00:20:07.023Z"",""styleSystemId"":null,""sotsSubmitted"":null,""userId"":""69f2739b8a9489588db01d2c"",""isNoShow"":null,""status"":""confirmed""},{""submittedBallot"":false,""roleSystemId"":""RL-000001"",""styleSystemIds"":[],""joinedAt"":""2026-05-07T00:23:26.476Z"",""styleSystemId"":null,""sotsSubmitted"":null,""userId"":""69f2706d181676bbd6e82a5e"",""isNoShow"":null,""status"":""lobby""}]","69fbda84410ec6e3f06b0210","6","","2","","","","","","","[{""roleSystemId"":""RL-000001"",""candidateUserId"":""69f2739b8a9489588db01d2c"",""confirmedBy"":""69f62cd5271164a83828fd92"",""candidateStyleSystemIds"":[],""slotId"":""SL-69fbda86bacae598cfec1368-0"",""confirmedAt"":""2026-05-07T00:20:15.349Z"",""status"":""confirmed""}]","NC-0000000208","","[]","","","","aborted","69fbda86bacae598cfec1368","2026-05-07T00:19:18.161000","2026-05-07T13:22:28.959000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"","69f62cd5271164a83828fd92","{""lineupScenes"":[{""sceneId"":""sc-1"",""label"":""Scène principale"",""icon"":""🎛""}],""lineupSchedule"":[{""plageId"":""p-1"",""label"":""Peak"",""timeStart"":""2026-09-02T06:00:00.000Z"",""timeEnd"":""2026-09-02T10:00:00.000Z""}],""lineupPlacements"":{""SL-69fbd536cd4df8c14c59c18e-0:69f2739b8a9489588db01d2c:sc-1:p-1"":{""slotId"":""SL-69fbd536cd4df8c14c59c18e-0"",""userId"":""69f2739b8a9489588db01d2c"",""sceneId"":""sc-1"",""plageId"":""p-1"",""roleSystemId"":""RL-000001"",""assignedPrice"":1000,""assignedStyleSystemIds"":[],""isPlaced"":true,""_pricingMeta"":{""hourlyRate"":177.62,""workedMin"":240,""requiredMin"":240,""billableMin"":240,""allocationRatio"":1,""blockSize"":1},""_primeMeta"":{""sots"":""0%"",""xp"":""+2% (niv.3)"",""offreDemande"":""N/A""},""_primeMultiplier"":1.015,""priceIsOverridden"":true,""priceOverridedAt"":""2026-05-06T23:57:31.249Z"",""calculatedPrice"":710,""proposalId"":""69fbd56e7db0037154bcaff9"",""proposalStatus"":""accepted"",""proposedBy"":""69f62cd5271164a83828fd92"",""proposedAt"":""2026-05-06T23:57:31.249Z"",""talentCounterPrice"":null,""talentResponseNote"":null}}}","","","event","","","","[{""submittedBallot"":false,""roleSystemId"":""RL-000001"",""styleSystemIds"":[""ST-000133""],""joinedAt"":""2026-05-06T23:57:03.663Z"",""styleSystemId"":null,""sotsSubmitted"":null,""userId"":""69f2739b8a9489588db01d2c"",""isNoShow"":null,""status"":""confirmed""}]","69fbd5358907e0adb56c8758","6","","2","","","","","","","[{""roleSystemId"":""RL-000001"",""candidateUserId"":""69f2739b8a9489588db01d2c"",""confirmedBy"":""69f62cd5271164a83828fd92"",""candidateStyleSystemIds"":[""ST-000133""],""slotId"":""SL-69fbd536cd4df8c14c59c18e-0"",""confirmedAt"":""2026-05-06T23:57:20.277Z"",""status"":""confirmed""}]","NC-0000000131","","[]","","","","aborted","69fbd536cd4df8c14c59c18e","2026-05-06T23:56:38.842000","2026-05-07T13:22:19.249000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"","69f62cd5271164a83828fd92","{""lineupScenes"":[{""sceneId"":""sc-1"",""label"":""Scène principale"",""icon"":""🎛""}],""lineupSchedule"":[{""plageId"":""p-1"",""label"":""Peak"",""timeStart"":""2026-06-03T15:00:00.000Z"",""timeEnd"":""2026-06-03T18:00:00.000Z""}],""lineupPlacements"":{""SL-69fbd117892f6e0738e4da5c-0:69f2739b8a9489588db01d2c:sc-1:p-1"":{""slotId"":""SL-69fbd117892f6e0738e4da5c-0"",""userId"":""69f2739b8a9489588db01d2c"",""sceneId"":""sc-1"",""plageId"":""p-1"",""roleSystemId"":""RL-000001"",""assignedPrice"":1000,""assignedStyleSystemIds"":[],""isPlaced"":true,""_pricingMeta"":{""hourlyRate"":202.83,""workedMin"":180,""requiredMin"":180,""billableMin"":180,""allocationRatio"":1,""blockSize"":1},""_primeMeta"":{""sots"":""0%"",""xp"":""+1% (niv.2)"",""saison"":""+15%"",""offreDemande"":""N/A""},""_primeMultiplier"":1.159,""priceIsOverridden"":true,""priceOverridedAt"":""2026-05-06T23:39:59.225Z"",""calculatedPrice"":608,""proposalId"":""69fbd152f0999f515ab5c800"",""proposalStatus"":""accepted"",""proposedBy"":""69f62cd5271164a83828fd92"",""proposedAt"":""2026-05-06T23:39:59.225Z"",""talentCounterPrice"":null,""talentResponseNote"":null}}}","","","event","","","","[{""submittedBallot"":false,""roleSystemId"":""RL-000001"",""styleSystemIds"":[],""joinedAt"":""2026-05-06T23:39:29.321Z"",""styleSystemId"":null,""sotsSubmitted"":null,""userId"":""69f2739b8a9489588db01d2c"",""isNoShow"":null,""status"":""confirmed""}]","69fbd115f1cebe0fac03d432","6","","2","","","","","","","[{""roleSystemId"":""RL-000001"",""candidateUserId"":""69f2739b8a9489588db01d2c"",""confirmedBy"":""69f62cd5271164a83828fd92"",""candidateStyleSystemIds"":[],""slotId"":""SL-69fbd117892f6e0738e4da5c-0"",""confirmedAt"":""2026-05-06T23:39:44.625Z"",""status"":""confirmed""}]","NC-0000000302","","[]","","","","aborted","69fbd117892f6e0738e4da5c","2026-05-06T23:39:03.134000","2026-05-06T23:55:33.667000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"","69f62cd5271164a83828fd92","{""lineupScenes"":[{""sceneId"":""sc-1"",""label"":""Scène principale"",""icon"":""🎛""}],""lineupSchedule"":[{""plageId"":""p-1"",""label"":""Peak"",""timeStart"":""2026-08-03T05:00:00.000Z"",""timeEnd"":""2026-08-03T07:00:00.000Z""}],""lineupPlacements"":{""SL-69fbca120a018f0044d17bde-0:69f2739b8a9489588db01d2c:sc-1:p-1"":{""slotId"":""SL-69fbca120a018f0044d17bde-0"",""userId"":""69f2739b8a9489588db01d2c"",""sceneId"":""sc-1"",""plageId"":""p-1"",""roleSystemId"":""RL-000001"",""assignedPrice"":1000,""assignedStyleSystemIds"":[],""isPlaced"":true,""_pricingMeta"":{""hourlyRate"":202.83,""workedMin"":120,""requiredMin"":120,""billableMin"":120,""allocationRatio"":1,""blockSize"":1},""_primeMeta"":{""sots"":""0%"",""xp"":""+1% (niv.2)"",""saison"":""+15%"",""offreDemande"":""N/A""},""_primeMultiplier"":1.159,""priceIsOverridden"":true,""priceOverridedAt"":""2026-05-06T23:14:10.888Z"",""calculatedPrice"":406,""proposalId"":""69fbcb46d95fd3473128d3ee"",""proposalStatus"":""accepted"",""proposedBy"":""69f62cd5271164a83828fd92"",""proposedAt"":""2026-05-06T23:14:10.888Z"",""talentCounterPrice"":1000,""talentResponseNote"":null}}}","","","event","","","","[{""submittedBallot"":false,""roleSystemId"":""RL-000001"",""styleSystemIds"":[],""joinedAt"":""2026-05-06T23:13:35.419Z"",""styleSystemId"":null,""sotsSubmitted"":null,""userId"":""69f2739b8a9489588db01d2c"",""isNoShow"":null,""status"":""confirmed""}]","69fbca11058919c34084beb1","6","","2","","","","","","","[{""roleSystemId"":""RL-000001"",""candidateUserId"":""69f2739b8a9489588db01d2c"",""confirmedBy"":""69f62cd5271164a83828fd92"",""candidateStyleSystemIds"":[],""slotId"":""SL-69fbca120a018f0044d17bde-0"",""confirmedAt"":""2026-05-06T23:13:52.900Z"",""status"":""confirmed""}]","NC-0000000137","","[]","","","","aborted","69fbca120a018f0044d17bde","2026-05-06T23:09:06.799000","2026-05-06T23:55:41.316000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
"","69f62cd5271164a83828fd92","{""lineupScenes"":[{""sceneId"":""sc-1"",""label"":""Scène principale"",""icon"":""🎛""}],""lineupSchedule"":[{""plageId"":""p-1"",""label"":""Warmup"",""timeStart"":""2026-05-26T00:00:00.000Z"",""timeEnd"":""2026-05-26T00:54:00.000Z""},{""plageId"":""p-2"",""label"":""Peak"",""timeStart"":""2026-05-26T00:54:00.000Z"",""timeEnd"":""2026-05-26T03:00:00.000Z""}],""lineupPlacements"":{""SL-69fbbce3b1a0803aa08cffd4-0:69f2739b8a9489588db01d2c:sc-1:p-1"":{""slotId"":""SL-69fbbce3b1a0803aa08cffd4-0"",""userId"":""69f2739b8a9489588db01d2c"",""sceneId"":""sc-1"",""plageId"":""p-1"",""roleSystemId"":""RL-000001"",""assignedPrice"":300,""assignedStyleSystemIds"":[],""isPlaced"":true,""_pricingMeta"":{""hourlyRate"":176.4,""workedMin"":54,""requiredMin"":180,""billableMin"":180,""allocationRatio"":0.3,""blockSize"":2},""_primeMeta"":{""sots"":""0%"",""xp"":""+1% (niv.2)"",""offreDemande"":""N/A""},""_primeMultiplier"":1.008,""priceIsOverridden"":true,""priceOverridedAt"":""2026-05-06T22:14:49.066Z"",""calculatedPrice"":159,""proposalId"":""69fbbd5cb1a0803aa08cfffc"",""proposalStatus"":""accepted"",""proposedBy"":""69f62cd5271164a83828fd92"",""proposedAt"":""2026-05-06T22:14:49.066Z"",""talentCounterPrice"":null,""talentResponseNote"":null},""SL-69fbbce3b1a0803aa08cffd4-0:69f2739b8a9489588db01d2c:sc-1:p-2"":{""slotId"":""SL-69fbbce3b1a0803aa08cffd4-0"",""userId"":""69f2739b8a9489588db01d2c"",""sceneId"":""sc-1"",""plageId"":""p-2"",""roleSystemId"":""RL-000001"",""assignedPrice"":700,""assignedStyleSystemIds"":[],""isPlaced"":true,""_pricingMeta"":{""hourlyRate"":176.4,""workedMin"":126,""requiredMin"":180,""billableMin"":180,""allocationRatio"":0.7,""blockSize"":2},""_primeMeta"":{""sots"":""0%"",""xp"":""+1% (niv.2)"",""offreDemande"":""N/A""},""_primeMultiplier"":1.008,""priceIsOverridden"":true,""priceOverridedAt"":""2026-05-06T22:15:10.778Z"",""calculatedPrice"":370,""proposalId"":""69fbbd74a99448070e4fb65c"",""proposalStatus"":""accepted"",""proposedBy"":""69f62cd5271164a83828fd92"",""proposedAt"":""2026-05-06T22:15:10.778Z"",""talentCounterPrice"":null,""talentResponseNote"":null}}}","","","event","","","","[{""submittedBallot"":false,""roleSystemId"":""RL-000001"",""styleSystemIds"":[],""joinedAt"":""2026-05-06T22:13:32.998Z"",""styleSystemId"":null,""sotsSubmitted"":null,""userId"":""69f2739b8a9489588db01d2c"",""isNoShow"":null,""status"":""confirmed""}]","69fbbce11d1b1bd6670a7ee3","6","","2","","","","","","","[{""roleSystemId"":""RL-000001"",""candidateUserId"":""69f2739b8a9489588db01d2c"",""confirmedBy"":""69f62cd5271164a83828fd92"",""candidateStyleSystemIds"":[],""slotId"":""SL-69fbbce3b1a0803aa08cffd4-0"",""confirmedAt"":""2026-05-06T22:13:37.607Z"",""status"":""confirmed""}]","NC-0000000025","","[]","","","","aborted","69fbbce3b1a0803aa08cffd4","2026-05-06T22:12:51.040000","2026-05-06T23:55:49.911000","service_720f1ed7-4d53-4623-8377-a9877bf2f722","service+720f1ed7-4d53-4623-8377-a9877bf2f722@no-reply.base44.com","false"
