systemId,bioFr,parentSystemId,color,level,displayName,active,racineSystemId,sotsGlobalScore,unlockLevel,rarityTier,sotsRecent30Score,totalVotes,domainKey,id,created_date,updated_date,created_by_id,created_by,is_sample
"ST-000247","","ST-000094","","2","Afro Beat","true","ST-000094","0","1","common","0","0","music","69f4b16fa5806fda0dd3d193","2026-05-01T13:58:07.621000","2026-05-01T13:58:07.621000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"ST-000246","","ST-000002","","3","Amapiano","true","ST-000001","0","1","common","0","0","music","69f4b0ee582f16d2b60a2102","2026-05-01T13:55:58.621000","2026-05-01T13:55:58.621000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"ST-000205","","ST-000196","","3","Live Streaming & Webcasting","true","ST-000193","0","1","common","0","0","video","69f2615c703ebba22c037375","2026-04-29T19:51:56.040000","2026-04-29T19:51:56.040000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"ST-000199","Vidéo Corporate / Institutionnelle ","ST-000193","","2","Vidéo Corporate / Institutionnelle","true","ST-000193","0","1","common","0","0","video","69f2615c703ebba22c03737b","2026-04-29T19:51:56.040000","2026-04-29T19:51:56.040000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"ST-000202","","ST-000195","","3","Buzz","true","ST-000193","0","1","common","0","0","video","69f2615c703ebba22c037378","2026-04-29T19:51:56.040000","2026-04-29T19:51:56.040000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"ST-000200","Storytelling","ST-000194","","3","Storytelling","true","ST-000193","0","1","common","0","0","video","69f2615c703ebba22c03737a","2026-04-29T19:51:56.040000","2026-04-29T19:51:56.040000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"ST-000198","","ST-000193","","2","Interviews / Témoignages","true","ST-000193","0","1","common","0","0","video","69f2615c703ebba22c03737c","2026-04-29T19:51:56.040000","2026-04-29T19:51:56.040000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"ST-000206","","ST-000196","","3","Hybride (audience physique et virtuelle)","true","ST-000193","0","1","common","0","0","video","69f2615c703ebba22c037374","2026-04-29T19:51:56.040000","2026-04-29T19:51:56.040000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"ST-000203","","ST-000195","","3","Save the date","true","ST-000193","0","1","common","0","0","video","69f2615c703ebba22c037377","2026-04-29T19:51:56.040000","2026-04-29T19:51:56.040000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"ST-000201","","ST-000194","","3","Immersif","true","ST-000193","0","1","common","0","0","video","69f2615c703ebba22c037379","2026-04-29T19:51:56.040000","2026-04-29T19:51:56.040000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"ST-000204","","ST-000196","","3","Multicaméra (Style TV)","true","ST-000193","0","1","common","0","0","video","69f2615c703ebba22c037376","2026-04-29T19:51:56.040000","2026-04-29T19:51:56.040000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
"ST-000207","","ST-000196","","3","Podcasts","true","ST-000193","0","1","common","0","0","video","69f2615c703ebba22c037373","2026-04-29T19:51:56.040000","2026-04-29T19:51:56.040000","69f218c618cc26dee7ae01ce","frederik.gelin@gmail.com","false"
