venue,createdAt,systemId,scheduledStartAt,name,organizerUserId,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"100","2026-05-26T23:14:55.700Z","EVT-A5UAQF-65KCLX","2026-09-11T00:00","test","6a09b5c6ace6051fecd365af","draft","6a16297080bedf24fdd19bf5","2026-05-26T23:14:56.529000","2026-05-26T23:14:56.529000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"123","2026-05-26T13:29:14.679Z","EVT-GBJTBA-399ES6","2026-07-07T07:15","TEST","6a09b5c6ace6051fecd365af","draft","6a15a02b510111cd37e8e757","2026-05-26T13:29:15.730000","2026-05-26T13:29:15.730000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"120","2026-05-26T10:42:40.440Z","EVT-8SMQ5D-2UMA6W","2026-09-03T12:00","trest","6a09b5c6ace6051fecd365af","draft","6a1579212743a46de466e8fd","2026-05-26T10:42:41.299000","2026-05-26T10:42:41.299000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"300","2026-05-26T10:41:01.191Z","EVT-VGGTKP-D6LCDH","2026-07-03T03:00","test 200","6a09b5c6ace6051fecd365af","draft","6a1578bd774131172288ed12","2026-05-26T10:41:01.905000","2026-05-26T10:41:01.905000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"100","2026-05-25T21:08:18.771Z","EVT-76J43J-H2K2J7","2026-09-01T01:11","test test","6a09b5c6ace6051fecd365af","draft","6a14ba43c089c158c9ce2f26","2026-05-25T21:08:19.722000","2026-05-25T21:08:19.722000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"06","2026-05-25T21:00:17.310Z","EVT-GMWGKX-6C7MXB","2026-06-06T06:06","test","6a09b5c6ace6051fecd365af","draft","6a14b8628c8d3dc2d981bb4f","2026-05-25T21:00:18.161000","2026-05-25T21:00:18.161000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"10","2026-05-25T20:56:47.252Z","EVT-ULQ4EB-NA5QCY","2026-07-07T07:00","test 160","6a09b5c6ace6051fecd365af","draft","6a14b7908e82642d0df3b2db","2026-05-25T20:56:48.120000","2026-05-25T20:56:48.120000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"1111","2026-05-25T20:45:09.373Z","EVT-JBY42M-92DF9P","2026-11-11T11:11","test 151","6a09b5c6ace6051fecd365af","draft","6a14b4d639bb9c055da9c320","2026-05-25T20:45:10.282000","2026-05-25T20:45:10.282000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"900","2026-05-25T20:37:59.609Z","EVT-F48945-6J775Q","2026-09-09T09:00","test","6a09b5c6ace6051fecd365af","draft","6a14b328ea9353148a911a76","2026-05-25T20:38:00.498000","2026-05-25T20:38:00.498000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"1000","2026-05-25T20:04:09.008Z","EVT-6S6H4Q-JEGCC3","2026-08-08T11:00","test 140","6a09b5c6ace6051fecd365af","draft","6a14ab39c302fb1467f6a575","2026-05-25T20:04:09.865000","2026-05-25T20:04:09.865000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
