deactivationReason,createdAt,code,jurisdiction,description,active,source,deactivatedAt,type,category,presentationOrder,updatedAt,id,created_date,updated_date,created_by_id,created_by,is_sample
"","2026-05-24T19:31:25.819Z","PRINCIPAL_TAX_REGULARIZATION_AUDIT","*","Régularisation fiscale — suite à audit interne ou externe","true","D-060-B","","INTERVENTION_TYPE","FISCAL_ABSORPTION","3","2026-05-24T19:31:25.819Z","6a13520e6abde91b9916b4ee","2026-05-24T19:31:26.114000","2026-05-24T19:31:26.114000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:25.659Z","PRINCIPAL_TAX_REGULARIZATION_ERROR","*","Régularisation fiscale — erreur de facturation détectée a posteriori","true","D-060-B","","INTERVENTION_TYPE","FISCAL_ABSORPTION","2","2026-05-24T19:31:25.659Z","6a13520d739d27fe408efed8","2026-05-24T19:31:25.931000","2026-05-24T19:31:25.931000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:25.505Z","PRINCIPAL_TAX_REGULARIZATION_PILOT","*","Régularisation fiscale — transaction pilote hors Checkout","true","D-060-B","","INTERVENTION_TYPE","FISCAL_ABSORPTION","1","2026-05-24T19:31:25.505Z","6a13520d30f565d8a5e3de97","2026-05-24T19:31:25.776000","2026-05-24T19:31:25.776000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:25.299Z","4440","*","Autres taxes juridictionnelles — passif fiscal autorisé contrepartie 6690","true","D-060-B","","FISCAL_LIABILITY","FISCAL_OTHER","4","2026-05-24T19:31:25.299Z","6a13520d5478410d78630a8c","2026-05-24T19:31:25.572000","2026-05-24T19:31:25.572000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:24.089Z","4430","ON-CA","HST à remettre — passif fiscal autorisé contrepartie 6690 (Ontario)","true","D-060-B","","FISCAL_LIABILITY","FISCAL_ON","3","2026-05-24T19:31:24.089Z","6a13520d4537d7eb2b55a09e","2026-05-24T19:31:25.416000","2026-05-24T19:31:25.416000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:23.800Z","4420","QC-CA","TVQ à remettre RQ — passif fiscal autorisé contrepartie 6690","true","D-060-B","","FISCAL_LIABILITY","FISCAL_QC","2","2026-05-24T19:31:23.800Z","6a13520ca2a40e766a8d263f","2026-05-24T19:31:24.212000","2026-05-24T19:31:24.212000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:23.641Z","4410","QC-CA","TPS à remettre ARC — passif fiscal autorisé contrepartie 6690","true","D-060-B","","FISCAL_LIABILITY","FISCAL_QC","1","2026-05-24T19:31:23.641Z","6a13520b99c05f6eb825c6d1","2026-05-24T19:31:23.917000","2026-05-24T19:31:23.917000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:23.448Z","SKU-INTERNE","*","Opérations internes / régularisations","true","D-060","","SKU","MOTEUR_ECONOMIQUE","5","2026-05-24T19:31:23.448Z","6a13520b2173de35d68eaba8","2026-05-24T19:31:23.750000","2026-05-24T19:31:23.750000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:23.279Z","SKU-COMMANDITES","*","Commandites et activation commanditaire","true","D-060","","SKU","MOTEUR_ECONOMIQUE","4","2026-05-24T19:31:23.279Z","6a13520b738370a2bfd5dde7","2026-05-24T19:31:23.568000","2026-05-24T19:31:23.568000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:23.117Z","SKU-BILLETTERIE","*","Billetterie événements","true","D-060","","SKU","MOTEUR_ECONOMIQUE","3","2026-05-24T19:31:23.117Z","6a13520b3827d9619cddd5ec","2026-05-24T19:31:23.401000","2026-05-24T19:31:23.401000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
