phase,processed,stripeFailureCode,createdAt,amountReceivedCents,stripeEventType,currency,receivedAt,engagementId,stripePaymentIntentId,id,created_date,updated_date,created_by_id,created_by,is_sample
"balance","false","","2026-05-28T11:39:53.558Z","80000","payment_intent.succeeded","cad","2026-05-28T11:39:53.558Z","ENG-T75C5V-NF5RRR","pi_3Tc2Hz2eLVUrCnnJ1lnhMK81","6a1829897bcf01b1d79858ba","2026-05-28T11:39:53.737000","2026-05-28T11:39:53.737000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"deposit","false","","2026-05-28T11:39:17.480Z","20000","payment_intent.succeeded","cad","2026-05-28T11:39:17.480Z","ENG-T75C5V-NF5RRR","pi_3Tc2HO2eLVUrCnnJ0NvpPLrA","6a1829656e3d7e84b6b52dab","2026-05-28T11:39:17.731000","2026-05-28T11:39:17.731000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"balance","false","","2026-05-28T02:48:09.511Z","32000","payment_intent.succeeded","cad","2026-05-28T02:48:09.511Z","ENG-CPN768-BTNAQV","pi_3TbtzJ2eLVUrCnnJ0KFtAevg","6a17ace9b16e7ed56cf6c011","2026-05-28T02:48:09.860000","2026-05-28T02:48:09.860000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"deposit","false","","2026-05-28T02:47:31.824Z","8000","payment_intent.succeeded","cad","2026-05-28T02:47:31.824Z","ENG-CPN768-BTNAQV","pi_3Tbtym2eLVUrCnnJ0CjfWgJ8","6a17acc33b72663497e2e583","2026-05-28T02:47:31.965000","2026-05-28T02:47:31.965000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"balance","false","","2026-05-28T02:21:38.904Z","24000","payment_intent.succeeded","cad","2026-05-28T02:21:38.904Z","ENG-9UURMF-GZD7G6","pi_3TbtZk2eLVUrCnnJ1Owot6hz","6a17a6b37787c794608ff754","2026-05-28T02:21:39.035000","2026-05-28T02:21:39.035000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"deposit","false","","2026-05-28T02:03:30.425Z","6000","payment_intent.succeeded","cad","2026-05-28T02:03:30.425Z","ENG-9UURMF-GZD7G6","pi_3TbtI62eLVUrCnnJ1otQm6to","6a17a2739324f2e32295a47b","2026-05-28T02:03:31.267000","2026-05-28T02:03:31.267000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"deposit","false","","2026-05-28T01:45:12.896Z","2000","payment_intent.succeeded","cad","2026-05-28T01:45:12.896Z","ENG-HN4B2V-56Z3H9","pi_3Tbt0S2eLVUrCnnJ0Yh7xXaA","6a179e29dd0fd6a7094ab603","2026-05-28T01:45:13.072000","2026-05-28T01:45:13.072000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"deposit","false","","2026-05-28T01:30:35.807Z","2000","payment_intent.succeeded","cad","2026-05-28T01:30:35.807Z","ENG-JE5TKN-N9QFCZ","pi_3TbsmF2eLVUrCnnJ0pDN3vId","6a179abb3c88b3165c45f843","2026-05-28T01:30:35.937000","2026-05-28T01:30:35.937000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"deposit","false","","2026-05-26T23:19:02.375Z","2000","payment_intent.succeeded","cad","2026-05-26T23:19:02.375Z","ENG-ZWUD2V-2CY8QV","pi_3TbUFT2eLVUrCnnJ0gTn3pWY","6a162a66d798261d8a4df399","2026-05-26T23:19:02.530000","2026-05-26T23:19:02.530000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"deposit","false","","2026-05-26T23:17:37.682Z","2000","payment_intent.succeeded","cad","2026-05-26T23:17:37.682Z","ENG-C7F6CR-WAYE3N","pi_3TbUE72eLVUrCnnJ1b9bU7uo","6a162a11a0807f7eb2a7741d","2026-05-26T23:17:37.875000","2026-05-26T23:17:37.875000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
